Niters,ExcTime,GNorm
1.02800000e+03,1.15253687e-01,9.95127487e-09
1.03600000e+03,1.18850946e-01,9.95203986e-09
1.02900000e+03,1.14840984e-01,9.85644335e-09
1.04200000e+03,1.16755247e-01,9.90036806e-09
1.04100000e+03,1.15244150e-01,9.87070566e-09
1.03300000e+03,1.15935564e-01,9.97287473e-09
1.03500000e+03,1.15381002e-01,9.97493422e-09
1.03700000e+03,1.14473581e-01,9.90003323e-09
1.03900000e+03,1.16992712e-01,9.83739370e-09
1.03300000e+03,1.15647316e-01,9.89451137e-09
1.04300000e+03,1.14840269e-01,9.91209261e-09
1.03600000e+03,1.16986275e-01,9.87186514e-09
1.03300000e+03,1.15584135e-01,9.79221010e-09
1.03300000e+03,1.15967035e-01,9.94805440e-09
1.03200000e+03,1.14834785e-01,9.91268040e-09
1.03800000e+03,1.17381096e-01,9.86229460e-09
1.04200000e+03,1.16335392e-01,9.99569772e-09
1.04500000e+03,1.16502762e-01,9.79343256e-09
1.03800000e+03,1.15086317e-01,9.87513010e-09
1.03900000e+03,1.16326332e-01,9.83422557e-09
1.03000000e+03,1.14454031e-01,9.96926337e-09
1.04000000e+03,1.15964890e-01,9.88346445e-09
1.03900000e+03,1.15318298e-01,9.83905585e-09
1.03600000e+03,1.16142035e-01,9.95027806e-09
1.04100000e+03,1.16131783e-01,9.73638761e-09
1.04100000e+03,1.16144896e-01,9.72161258e-09
1.03000000e+03,1.13859653e-01,9.99166080e-09
1.04200000e+03,1.16663933e-01,9.94485146e-09
1.03700000e+03,1.15320444e-01,9.74617917e-09
1.03600000e+03,1.15607262e-01,9.90607238e-09
