Niters,ExcTime,GNorm
7.06000000e+02,2.07309723e-02,7.01046563e-09
7.23000000e+02,2.13968754e-02,9.13437309e-09
7.23000000e+02,2.12411880e-02,8.38330460e-09
7.00000000e+02,2.06131935e-02,8.87170017e-09
7.37000000e+02,2.16462612e-02,7.36788378e-09
6.99000000e+02,2.05874443e-02,9.19906246e-09
6.99000000e+02,2.05762386e-02,8.83053731e-09
7.23000000e+02,2.12011337e-02,9.94926449e-09
7.03000000e+02,2.07188129e-02,8.47732747e-09
7.26000000e+02,2.14598179e-02,3.62501653e-09
7.26000000e+02,2.14881897e-02,9.27322426e-09
7.32000000e+02,2.16324329e-02,7.90736370e-09
7.51000000e+02,2.22315788e-02,4.52724609e-09
7.58000000e+02,2.24454403e-02,6.09818488e-09
7.30000000e+02,2.13799477e-02,9.92156306e-09
7.26000000e+02,2.14684010e-02,7.79104516e-09
7.20000000e+02,2.11675167e-02,9.61380513e-09
7.33000000e+02,2.15861797e-02,4.21009690e-09
7.24000000e+02,2.12481022e-02,9.33460137e-09
7.18000000e+02,2.10988522e-02,6.96337257e-09
6.93000000e+02,2.02920437e-02,5.87214783e-09
7.35000000e+02,2.16615200e-02,8.70381934e-09
7.18000000e+02,2.13155746e-02,9.94619857e-09
6.98000000e+02,2.07011700e-02,8.85917128e-09
7.23000000e+02,2.13136673e-02,9.13212493e-09
7.22000000e+02,2.12750435e-02,5.72509793e-09
7.22000000e+02,2.11703777e-02,9.55433629e-09
7.29000000e+02,2.14834213e-02,8.86276535e-09
7.22000000e+02,2.12852955e-02,5.47312939e-09
6.94000000e+02,2.04939842e-02,8.43508912e-09
