Niters,ExcTime,GNorm
1.15000000e+02,1.44592214e+00,9.54409034e-09
1.15000000e+02,1.42073989e+00,9.43165034e-09
1.15000000e+02,1.41314530e+00,9.31747188e-09
1.15000000e+02,1.39445686e+00,9.32651243e-09
1.15000000e+02,1.48314977e+00,9.29989871e-09
1.15000000e+02,1.44154859e+00,9.40190346e-09
1.15000000e+02,1.46514916e+00,9.48760813e-09
1.15000000e+02,1.40506935e+00,9.27440702e-09
1.15000000e+02,1.41241074e+00,9.46994008e-09
1.15000000e+02,1.43624163e+00,9.34384386e-09
1.15000000e+02,1.43823361e+00,9.13913055e-09
1.15000000e+02,1.39490771e+00,9.15572258e-09
1.15000000e+02,1.43024540e+00,9.45694736e-09
1.15000000e+02,1.53791642e+00,9.11847707e-09
1.15000000e+02,1.48733425e+00,9.13757605e-09
1.15000000e+02,1.41747427e+00,8.75996357e-09
1.15000000e+02,1.48312974e+00,9.14787403e-09
1.15000000e+02,1.41136980e+00,9.36387864e-09
1.15000000e+02,1.43759656e+00,9.20093590e-09
1.15000000e+02,1.40168309e+00,9.47394221e-09
1.15000000e+02,1.44228244e+00,9.67351789e-09
1.15000000e+02,1.41834593e+00,9.55075666e-09
1.15000000e+02,1.38209224e+00,9.30432894e-09
1.15000000e+02,1.42035580e+00,9.18953177e-09
1.15000000e+02,1.39620185e+00,9.38158333e-09
1.15000000e+02,1.39505172e+00,9.45414535e-09
1.15000000e+02,1.40869236e+00,9.65785559e-09
1.15000000e+02,1.40363312e+00,9.44842390e-09
1.15000000e+02,1.41476202e+00,9.22306679e-09
1.15000000e+02,1.41499376e+00,9.36082900e-09
