Niters,ExcTime,GNorm
5.64000000e+02,4.62510586e-02,9.61657506e-09
5.65000000e+02,4.62508202e-02,9.30897695e-09
5.75000000e+02,4.69717979e-02,9.78991575e-09
5.59000000e+02,4.55546379e-02,9.64421502e-09
5.68000000e+02,4.64780331e-02,9.78853756e-09
5.61000000e+02,4.57999706e-02,9.88515581e-09
5.62000000e+02,4.59401608e-02,9.75876587e-09
5.60000000e+02,4.56945896e-02,9.55725233e-09
5.59000000e+02,4.57065105e-02,9.37132331e-09
5.80000000e+02,4.74617481e-02,9.62340715e-09
5.60000000e+02,4.61325645e-02,9.33133223e-09
5.68000000e+02,4.64317799e-02,9.45662380e-09
5.77000000e+02,4.71951962e-02,9.44907026e-09
5.84000000e+02,4.77623940e-02,9.63345647e-09
5.83000000e+02,4.76853848e-02,9.91796151e-09
5.80000000e+02,4.74412441e-02,9.01221253e-09
5.62000000e+02,4.60736752e-02,9.86787889e-09
5.82000000e+02,4.74998951e-02,9.52972869e-09
5.61000000e+02,4.58712578e-02,9.98701648e-09
5.58000000e+02,4.56314087e-02,8.54559901e-09
5.54000000e+02,4.52101231e-02,7.06545889e-09
5.58000000e+02,4.56342697e-02,9.09806780e-09
5.66000000e+02,4.67526913e-02,9.91258811e-09
5.58000000e+02,4.55639362e-02,9.88244687e-09
5.71000000e+02,4.67059612e-02,9.74110044e-09
5.54000000e+02,4.52232361e-02,9.30109317e-09
5.61000000e+02,4.57184315e-02,9.63255497e-09
5.62000000e+02,4.58738804e-02,9.54969622e-09
5.74000000e+02,4.67891693e-02,9.89947939e-09
5.58000000e+02,4.55753803e-02,9.80740439e-09
