Niters,ExcTime,GNorm
8.70000000e+01,1.65915012e-01,8.01702684e-09
8.80000000e+01,7.81202316e-03,9.01210828e-09
8.90000000e+01,7.92980194e-03,8.49753260e-09
8.60000000e+01,7.66539574e-03,9.62760296e-09
8.80000000e+01,7.77578354e-03,9.88951489e-09
8.90000000e+01,7.87949562e-03,8.17927788e-09
8.70000000e+01,7.63916969e-03,9.98014173e-09
8.70000000e+01,7.65991211e-03,9.45656440e-09
8.80000000e+01,7.72261620e-03,8.39608462e-09
8.90000000e+01,7.79891014e-03,9.22102573e-09
8.70000000e+01,7.65538216e-03,9.44138617e-09
8.90000000e+01,7.85517693e-03,7.67717746e-09
8.90000000e+01,7.72476196e-03,9.67194379e-09
8.90000000e+01,7.73167610e-03,7.91698925e-09
8.90000000e+01,7.73191452e-03,8.43867919e-09
8.90000000e+01,7.69853592e-03,9.26341614e-09
8.80000000e+01,7.65228271e-03,8.56783759e-09
8.90000000e+01,7.68065453e-03,7.83650466e-09
8.70000000e+01,7.56168365e-03,9.11549893e-09
8.80000000e+01,7.63273239e-03,8.34992978e-09
8.80000000e+01,7.64465332e-03,8.70383104e-09
8.90000000e+01,7.69758224e-03,7.01601113e-09
8.90000000e+01,7.73549080e-03,8.71188418e-09
8.80000000e+01,7.62462616e-03,9.52401534e-09
8.70000000e+01,7.53784180e-03,8.64834371e-09
8.90000000e+01,7.74455070e-03,8.36605067e-09
8.70000000e+01,7.56216049e-03,8.04831111e-09
8.70000000e+01,7.53593445e-03,7.47154519e-09
8.60000000e+01,7.46583939e-03,9.93998835e-09
8.70000000e+01,7.51614571e-03,9.55668551e-09
