Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+03,5.0000e+00,1.3560e+02,9.1946e-03,9.2177e-09
1.0000e+03,1.0000e+01,1.5237e+03,7.4118e-02,8.7639e-09
1.0000e+03,1.5000e+01,1.0000e+04,4.3876e-01,3.3731e-04
5.0000e+03,5.0000e+00,1.4300e+02,3.5611e-01,9.4003e-09
5.0000e+03,1.0000e+01,1.7716e+03,4.4222e+00,9.6869e-09
5.0000e+03,1.5000e+01,1.0000e+04,2.3128e+01,1.0197e-02
1.0000e+04,5.0000e+00,1.4500e+02,1.5720e+00,9.6041e-09
1.0000e+04,1.0000e+01,1.8188e+03,2.0542e+01,9.8725e-09
1.0000e+04,1.5000e+01,1.0000e+04,1.1462e+02,2.0438e-02
