Niters std,ExcTime std,GNorm std
5.7590e+00,8.9557e-04,1.6207e-09
7.2477e+00,2.4925e-04,1.9102e-09
7.3106e+00,2.4873e-04,2.4459e-09
7.1726e+00,5.3458e-04,2.1163e-09
4.4052e+00,4.8558e-04,5.7739e-10
2.2644e+01,8.7578e-04,8.5459e-10
2.8542e+01,1.1144e-03,8.4803e-10
3.0730e+01,1.1560e-03,7.7512e-10
4.8990e-01,1.5410e-02,5.0876e-10
1.2290e+01,3.8929e-02,2.0994e-10
7.9190e+01,5.7834e-02,2.6954e-10
9.9507e+01,6.1039e-02,2.3115e-09
