Niters std,ExcTime std,GNorm std
5.8291e+00,2.1788e-02,1.7890e-09
7.9159e+00,7.5797e-04,1.3006e-09
1.2016e+01,1.0063e-03,2.1138e-09
1.6965e+01,1.4221e-03,2.0664e-09
4.3309e+00,4.8251e-04,5.7740e-10
2.1542e+01,2.3646e-03,6.7379e-10
3.7638e+01,4.0499e-03,4.4702e-10
5.0013e+01,5.4522e-03,6.0790e-10
4.8189e-01,6.2330e-04,5.6624e-10
1.1335e+01,8.1370e-03,2.5239e-10
7.7600e+01,5.6953e-02,1.6601e-10
1.0200e+02,7.3830e-02,1.7304e-10
