Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,1.0161e+03,4.1592e-02,9.8655e-09
1.0000e+02,1.0000e+03,9.8665e+03,4.0092e-01,1.4285e-08
1.0000e+02,1.0000e+04,1.0000e+04,4.0347e-01,9.5729e-01
1.0000e+02,1.0000e+05,1.0000e+04,4.0707e-01,5.8728e+00
1.0000e+03,1.0000e+02,1.0056e+03,7.4288e-02,9.8984e-09
1.0000e+03,1.0000e+03,9.6602e+03,1.0974e+00,1.2300e-08
1.0000e+03,1.0000e+04,1.0000e+04,1.1433e+00,6.7945e-01
1.0000e+03,1.0000e+05,1.0000e+04,1.1298e+00,4.3543e+00
1.0000e+04,1.0000e+02,1.0434e+03,7.5938e-01,9.9073e-09
1.0000e+04,1.0000e+03,9.9224e+03,8.5771e+00,1.2003e-08
1.0000e+04,1.0000e+04,1.0000e+04,8.6566e+00,7.8199e-01
1.0000e+04,1.0000e+05,1.0000e+04,8.5639e+00,6.5632e+00
