Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.0800e+01,4.9928e-03,7.2035e-09
1.0000e+02,1.0000e+03,8.5000e+01,6.9978e-03,7.8570e-09
1.0000e+02,1.0000e+04,9.8400e+01,8.0761e-03,6.9875e-09
1.0000e+02,1.0000e+05,1.1380e+02,1.3273e-02,6.9099e-09
1.0000e+03,1.0000e+02,1.1230e+02,1.2740e-02,9.0562e-09
1.0000e+03,1.0000e+03,2.0530e+02,2.2407e-02,8.8598e-09
1.0000e+03,1.0000e+04,2.7010e+02,2.9110e-02,9.4751e-09
1.0000e+03,1.0000e+05,3.4410e+02,3.7025e-02,9.0434e-09
1.0000e+04,1.0000e+02,1.2370e+02,1.2642e-01,9.0687e-09
1.0000e+04,1.0000e+03,3.6140e+02,3.0572e-01,9.7118e-09
1.0000e+04,1.0000e+04,7.0600e+02,5.4295e-01,9.7966e-09
1.0000e+04,1.0000e+05,9.2120e+02,6.9429e-01,9.9140e-09
