Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.7860e+02,5.5722e-02,9.8732e-09
1.0000e+02,1.0000e+03,6.6682e+03,5.4629e-01,9.9809e-09
1.0000e+02,1.0000e+04,1.0000e+04,8.2621e-01,3.4908e-01
1.0000e+02,1.0000e+05,1.0000e+04,8.2531e-01,5.2915e+00
1.0000e+03,1.0000e+02,6.7500e+02,7.6887e-02,9.8006e-09
1.0000e+03,1.0000e+03,6.5227e+03,1.0898e+00,9.9821e-09
1.0000e+03,1.0000e+04,1.0000e+04,1.8052e+00,2.5077e-01
1.0000e+03,1.0000e+05,1.0000e+04,1.8128e+00,3.8291e+00
1.0000e+04,1.0000e+02,7.0040e+02,5.4002e-01,9.9087e-09
1.0000e+04,1.0000e+03,6.6983e+03,6.6064e+00,9.9820e-09
1.0000e+04,1.0000e+04,1.0000e+04,1.0563e+01,2.6446e-01
1.0000e+04,1.0000e+05,1.0000e+04,1.0613e+01,4.6682e+00
