Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.1500e+01,2.2401e-03,6.8306e-09
1.0000e+02,1.0000e+03,7.1700e+01,2.5532e-03,6.5550e-09
1.0000e+02,1.0000e+04,7.7000e+01,2.7386e-03,5.6994e-09
1.0000e+02,1.0000e+05,8.1200e+01,2.8946e-03,5.3148e-09
1.0000e+03,1.0000e+02,1.1550e+02,6.4998e-03,8.5594e-09
1.0000e+03,1.0000e+03,2.0890e+02,1.0849e-02,8.6808e-09
1.0000e+03,1.0000e+04,2.4430e+02,1.2215e-02,8.3376e-09
1.0000e+03,1.0000e+05,2.6370e+02,1.3118e-02,8.6168e-09
1.0000e+04,1.0000e+02,1.2740e+02,1.3229e-01,9.1936e-09
1.0000e+04,1.0000e+03,3.7640e+02,2.3470e-01,9.5351e-09
1.0000e+04,1.0000e+04,7.2520e+02,4.1784e-01,9.5914e-09
1.0000e+04,1.0000e+05,8.6420e+02,4.9099e-01,9.6318e-09
