Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.0600e+01,1.7402e-02,7.5323e-09
1.0000e+02,1.0000e+03,8.3400e+01,7.0404e-03,8.3946e-09
1.0000e+02,1.0000e+04,1.0080e+02,8.4938e-03,7.3778e-09
1.0000e+02,1.0000e+05,1.1230e+02,9.2900e-03,6.9359e-09
1.0000e+03,1.0000e+02,1.1230e+02,1.2572e-02,9.0566e-09
1.0000e+03,1.0000e+03,2.0540e+02,2.2650e-02,8.7125e-09
1.0000e+03,1.0000e+04,2.7860e+02,3.0720e-02,9.4098e-09
1.0000e+03,1.0000e+05,3.4240e+02,3.7651e-02,9.1007e-09
1.0000e+04,1.0000e+02,1.2370e+02,1.2637e-01,9.0687e-09
1.0000e+04,1.0000e+03,3.6140e+02,3.0657e-01,9.7118e-09
1.0000e+04,1.0000e+04,7.0600e+02,5.4593e-01,9.7965e-09
1.0000e+04,1.0000e+05,9.2570e+02,7.0379e-01,9.8029e-09
