Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,3.9900e+01,1.4807e-02,7.3865e-09
1.0000e+02,1.0000e+03,1.1510e+02,9.2216e-03,8.8457e-09
1.0000e+02,1.0000e+04,3.0060e+02,2.4841e-02,8.6691e-09
1.0000e+02,1.0000e+05,6.8780e+02,5.4382e-02,9.4266e-09
1.0000e+03,1.0000e+02,4.4000e+01,4.8968e-03,6.0165e-09
1.0000e+03,1.0000e+03,1.4090e+02,1.5751e-02,8.8610e-09
1.0000e+03,1.0000e+04,4.3780e+02,4.7088e-02,9.7067e-09
1.0000e+03,1.0000e+05,1.4050e+03,1.5209e-01,9.9016e-09
1.0000e+04,1.0000e+02,4.6000e+01,3.3918e-02,5.6412e-09
1.0000e+04,1.0000e+03,1.4800e+02,1.0865e-01,9.5926e-09
1.0000e+04,1.0000e+04,4.6810e+02,3.4229e-01,9.7307e-09
1.0000e+04,1.0000e+05,1.4737e+03,1.0745e+00,9.9001e-09
