Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.0260e+02,4.8252e-02,9.8341e-09
1.0000e+02,1.0000e+03,5.8810e+03,4.8054e-01,9.9834e-09
1.0000e+02,1.0000e+04,1.0000e+04,8.1159e-01,3.4133e-02
1.0000e+02,1.0000e+05,1.0000e+04,8.0610e-01,6.5789e-01
1.0000e+03,1.0000e+02,5.6610e+02,6.2260e-02,9.8555e-09
1.0000e+03,1.0000e+03,5.6094e+03,8.5889e-01,9.9906e-09
1.0000e+03,1.0000e+04,1.0000e+04,1.5849e+00,1.9033e-02
1.0000e+03,1.0000e+05,1.0000e+04,1.5035e+00,1.2851e+00
1.0000e+04,1.0000e+02,5.9240e+02,4.2901e-01,9.8860e-09
1.0000e+04,1.0000e+03,5.8826e+03,5.4762e+00,9.9876e-09
1.0000e+04,1.0000e+04,1.0000e+04,9.2832e+00,2.7484e-02
1.0000e+04,1.0000e+05,1.0000e+04,8.8468e+00,4.1638e+00
