Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,9.0410e+02,3.7165e-02,9.8891e-09
1.0000e+02,1.0000e+03,9.0168e+03,3.7581e-01,9.9908e-09
1.0000e+02,1.0000e+04,1.0000e+04,4.0625e-01,1.0434e-01
1.0000e+02,1.0000e+05,1.0000e+04,3.9956e-01,1.3989e+00
1.0000e+03,1.0000e+02,8.3990e+02,7.0287e-02,9.8919e-09
1.0000e+03,1.0000e+03,8.3850e+03,1.0203e+00,9.9900e-09
1.0000e+03,1.0000e+04,1.0000e+04,9.7145e-01,5.1975e-02
1.0000e+03,1.0000e+05,1.0000e+04,9.2081e-01,4.3377e+00
1.0000e+04,1.0000e+02,8.8020e+02,5.3345e-01,9.8687e-09
1.0000e+04,1.0000e+03,8.7715e+03,7.1943e+00,9.9874e-09
1.0000e+04,1.0000e+04,1.0000e+04,7.9729e+00,7.3890e-02
1.0000e+04,1.0000e+05,1.0000e+04,7.7741e+00,1.4107e+01
