Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,3.9800e+01,3.1697e-03,7.7003e-09
1.0000e+02,1.0000e+03,1.1250e+02,8.8315e-03,9.2394e-09
1.0000e+02,1.0000e+04,2.9280e+02,2.4202e-02,8.6948e-09
1.0000e+02,1.0000e+05,6.7710e+02,5.2671e-02,9.3891e-09
1.0000e+03,1.0000e+02,4.4000e+01,4.8047e-03,5.9800e-09
1.0000e+03,1.0000e+03,1.4070e+02,1.5255e-02,9.1048e-09
1.0000e+03,1.0000e+04,4.3960e+02,4.7527e-02,9.6406e-09
1.0000e+03,1.0000e+05,1.3471e+03,1.4425e-01,9.9125e-09
1.0000e+04,1.0000e+02,4.6000e+01,3.5785e-02,5.5031e-09
1.0000e+04,1.0000e+03,1.4810e+02,1.0823e-01,9.4840e-09
1.0000e+04,1.0000e+04,4.6820e+02,3.4069e-01,9.7344e-09
1.0000e+04,1.0000e+05,1.4729e+03,1.1121e+00,9.8994e-09
