Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,4.0700e+01,1.4919e-03,7.8602e-09
1.0000e+02,1.0000e+03,1.0080e+02,3.4965e-03,7.2882e-09
1.0000e+02,1.0000e+04,2.0990e+02,7.2696e-03,6.3143e-09
1.0000e+02,1.0000e+05,3.8100e+02,1.3209e-02,6.0185e-09
1.0000e+03,1.0000e+02,4.5000e+01,2.6545e-03,7.0038e-09
1.0000e+03,1.0000e+03,1.4340e+02,7.4085e-03,8.9238e-09
1.0000e+03,1.0000e+04,4.3980e+02,1.8273e-02,9.1336e-09
1.0000e+03,1.0000e+05,1.3222e+03,5.0486e-02,9.0141e-09
1.0000e+04,1.0000e+02,4.7000e+01,3.2635e-02,6.3852e-09
1.0000e+04,1.0000e+03,1.5200e+02,8.4383e-02,9.0657e-09
1.0000e+04,1.0000e+04,4.8550e+02,2.6679e-01,9.6364e-09
1.0000e+04,1.0000e+05,1.5463e+03,8.3284e-01,9.7310e-09
