Niters,ExcTime,GNorm
1.66000000e+03,4.38465452e+00,9.99323944e-09
1.66100000e+03,4.64968204e+00,9.88614879e-09
1.65800000e+03,4.76382661e+00,9.93729292e-09
1.65600000e+03,5.53455639e+00,9.99455462e-09
1.66300000e+03,4.35834146e+00,9.96359372e-09
1.65400000e+03,4.42537427e+00,9.99251901e-09
1.66100000e+03,4.54144835e+00,9.98324855e-09
1.66400000e+03,4.53104496e+00,9.89007733e-09
1.66400000e+03,4.65544796e+00,9.98048747e-09
1.66400000e+03,4.39899063e+00,9.90448365e-09
1.65700000e+03,4.76231384e+00,9.85728035e-09
1.66000000e+03,4.61555696e+00,9.92001891e-09
1.65800000e+03,4.51577950e+00,9.97406214e-09
1.65600000e+03,4.17480540e+00,9.92971478e-09
1.66400000e+03,4.50392914e+00,9.95897846e-09
1.66100000e+03,4.59099674e+00,9.93250830e-09
1.66400000e+03,4.28548431e+00,9.93089001e-09
1.65800000e+03,4.54002595e+00,9.90933260e-09
1.65600000e+03,4.44921374e+00,9.93776428e-09
1.65900000e+03,4.78701091e+00,9.93905459e-09
1.65800000e+03,4.25300646e+00,9.93372034e-09
1.65800000e+03,4.41479850e+00,9.99936347e-09
1.65700000e+03,4.31967473e+00,9.93082062e-09
1.65400000e+03,4.61817956e+00,9.98011658e-09
1.65200000e+03,4.42924905e+00,9.97443625e-09
1.66200000e+03,4.49677753e+00,9.95858385e-09
1.65900000e+03,4.55260301e+00,9.96726475e-09
1.65900000e+03,4.21163821e+00,9.87824593e-09
1.64700000e+03,4.46409774e+00,9.99863617e-09
1.66100000e+03,4.53502083e+00,9.93996576e-09
