Niters,ExcTime,GNorm
1.51400000e+03,6.59055710e-02,9.09360947e-09
1.50500000e+03,6.70394897e-02,9.71528703e-09
1.52700000e+03,6.96618557e-02,9.14876482e-09
1.52800000e+03,6.98728561e-02,8.11043271e-09
1.52800000e+03,7.08875656e-02,7.33122697e-09
1.52800000e+03,6.54361248e-02,8.88900762e-09
1.53700000e+03,6.79838657e-02,8.54960177e-09
1.52000000e+03,6.83441162e-02,9.24923919e-09
1.52100000e+03,6.44636154e-02,9.36407992e-09
1.52900000e+03,6.87439442e-02,8.18727511e-09
1.53400000e+03,7.06801414e-02,8.08354488e-09
1.53600000e+03,7.20760822e-02,8.78779974e-09
1.52700000e+03,6.40063286e-02,8.71102693e-09
1.54100000e+03,6.78896904e-02,8.96408904e-09
1.53300000e+03,6.65705204e-02,9.70858211e-09
1.52800000e+03,6.57830238e-02,8.12113496e-09
1.52700000e+03,6.85961246e-02,9.66123769e-09
1.52000000e+03,5.90014458e-02,9.01671212e-09
1.53400000e+03,6.79042339e-02,9.84495269e-09
1.54200000e+03,6.74419403e-02,9.58320233e-09
1.53400000e+03,6.80789948e-02,9.81606621e-09
1.52000000e+03,6.72075748e-02,9.76338794e-09
1.53600000e+03,6.96372986e-02,9.33644262e-09
1.53400000e+03,6.57782555e-02,8.72749395e-09
1.53500000e+03,7.02233315e-02,8.25999090e-09
1.53300000e+03,6.62622452e-02,9.03657819e-09
1.52900000e+03,7.11030960e-02,9.37276573e-09
1.53500000e+03,6.81164265e-02,8.87900518e-09
1.52000000e+03,6.63683414e-02,9.62962342e-09
1.52800000e+03,6.63859844e-02,9.06364368e-09
