Niters,ExcTime,GNorm
1.50800000e+03,1.90836191e-01,9.96577988e-09
1.51600000e+03,1.79689884e-01,9.90955337e-09
1.51700000e+03,2.10167170e-01,9.86207878e-09
1.51900000e+03,2.01987028e-01,9.92947132e-09
1.52300000e+03,2.04366446e-01,9.94185376e-09
1.52800000e+03,1.65489674e-01,9.86375760e-09
1.52200000e+03,1.70490980e-01,9.99680002e-09
1.51700000e+03,1.65514469e-01,9.88166252e-09
1.52800000e+03,1.63109303e-01,9.97695659e-09
1.51900000e+03,1.62862062e-01,9.91474812e-09
1.51500000e+03,1.71728373e-01,9.91049998e-09
1.52400000e+03,1.64832354e-01,9.90893039e-09
1.51600000e+03,1.61743879e-01,9.88070194e-09
1.53000000e+03,1.87723398e-01,9.99374718e-09
1.52400000e+03,1.67430162e-01,9.91982219e-09
1.51800000e+03,1.62238359e-01,9.94234417e-09
1.52600000e+03,1.63457155e-01,9.97877375e-09
1.52100000e+03,1.64521933e-01,9.82497677e-09
1.52300000e+03,1.84512138e-01,9.93862409e-09
1.52500000e+03,1.63043976e-01,9.88508618e-09
1.52000000e+03,1.64581299e-01,9.98785632e-09
1.52100000e+03,1.65391922e-01,9.83254929e-09
1.52900000e+03,1.66100979e-01,9.89838932e-09
1.52300000e+03,1.65396214e-01,9.98053127e-09
1.52200000e+03,1.62688732e-01,9.87488575e-09
1.53000000e+03,1.68395281e-01,9.81665107e-09
1.52300000e+03,1.65616751e-01,9.95470302e-09
1.52000000e+03,1.64449215e-01,9.86048172e-09
1.51800000e+03,1.63715363e-01,9.98471799e-09
1.51600000e+03,1.65048361e-01,9.94288547e-09
