Niters,ExcTime,GNorm
4.60000000e+01,3.39925289e-02,5.53745651e-09
4.60000000e+01,3.39515209e-02,5.41534861e-09
4.60000000e+01,3.39810848e-02,5.46533965e-09
4.60000000e+01,3.38332653e-02,6.33005260e-09
4.60000000e+01,3.39677334e-02,5.56988320e-09
4.60000000e+01,3.37877274e-02,5.48941268e-09
4.60000000e+01,3.48482132e-02,5.83754564e-09
4.60000000e+01,4.82802391e-02,5.36142759e-09
4.60000000e+01,3.36725712e-02,5.87424837e-09
4.60000000e+01,3.34961414e-02,5.53105543e-09
4.60000000e+01,3.36027145e-02,5.51905681e-09
4.60000000e+01,3.35083008e-02,5.36055755e-09
4.60000000e+01,3.35435867e-02,5.43543255e-09
4.60000000e+01,3.35204601e-02,5.51882648e-09
4.60000000e+01,3.36666107e-02,5.48742867e-09
4.60000000e+01,3.35547924e-02,5.44044334e-09
4.60000000e+01,3.36062908e-02,5.38772797e-09
4.60000000e+01,3.39376926e-02,5.47563089e-09
4.60000000e+01,3.36399078e-02,5.47284867e-09
4.60000000e+01,3.35016251e-02,5.35565885e-09
4.60000000e+01,3.36003304e-02,5.82542012e-09
4.60000000e+01,3.35943699e-02,5.43912511e-09
4.60000000e+01,3.35059166e-02,5.50450929e-09
4.60000000e+01,3.36585045e-02,5.95819994e-09
4.60000000e+01,3.39734554e-02,5.38306269e-09
4.50000000e+01,3.27703953e-02,9.97229960e-09
4.60000000e+01,3.35471630e-02,5.33221974e-09
4.60000000e+01,3.35321426e-02,5.40304136e-09
4.60000000e+01,3.35245132e-02,5.49096948e-09
4.60000000e+01,3.36282253e-02,5.53838929e-09
