Niters,ExcTime,GNorm
1.52000000e+02,7.52506256e-02,9.32101717e-09
1.52000000e+02,7.61799812e-02,8.99240940e-09
1.52000000e+02,7.60579109e-02,9.08924787e-09
1.52000000e+02,7.62000084e-02,9.05579123e-09
1.52000000e+02,7.59577751e-02,9.03339962e-09
1.52000000e+02,7.59236813e-02,9.06213972e-09
1.52000000e+02,7.58392811e-02,8.80953350e-09
1.52000000e+02,7.60703087e-02,8.97911835e-09
1.52000000e+02,7.60965347e-02,8.98385290e-09
1.52000000e+02,7.62302876e-02,9.33050627e-09
1.52000000e+02,7.63885975e-02,8.86646509e-09
1.52000000e+02,7.62596130e-02,9.07533221e-09
1.52000000e+02,7.64033794e-02,8.99791715e-09
1.52000000e+02,7.61914253e-02,8.84541642e-09
1.52000000e+02,7.84442425e-02,8.90005112e-09
1.52000000e+02,7.59580135e-02,9.18725094e-09
1.52000000e+02,7.60695934e-02,9.32003580e-09
1.52000000e+02,7.61675835e-02,9.23718675e-09
1.52000000e+02,7.62791634e-02,9.06965814e-09
1.52000000e+02,7.63537884e-02,8.82179252e-09
1.52000000e+02,7.60862827e-02,9.33080711e-09
1.52000000e+02,7.61113167e-02,8.88617112e-09
1.52000000e+02,7.62946606e-02,9.10276954e-09
1.52000000e+02,7.62932301e-02,9.43264201e-09
1.52000000e+02,7.62653351e-02,8.84633743e-09
1.52000000e+02,7.61811733e-02,8.43555205e-09
1.52000000e+02,7.61835575e-02,8.87166554e-09
1.52000000e+02,7.63146877e-02,8.83917558e-09
1.52000000e+02,7.62572289e-02,9.00012124e-09
1.52000000e+02,7.61935711e-02,9.11409768e-09
