Niters,ExcTime,GNorm
7.70000000e+02,6.50031567e-02,9.61362798e-09
6.66000000e+02,5.61802387e-02,9.95878759e-09
6.97000000e+02,5.86102009e-02,9.96580072e-09
7.05000000e+02,5.93032837e-02,9.33972386e-09
6.66000000e+02,5.59737682e-02,9.08334864e-09
6.61000000e+02,5.57188988e-02,8.97334201e-09
6.67000000e+02,5.61559200e-02,9.85557633e-09
7.43000000e+02,6.25870228e-02,9.64731253e-09
5.97000000e+02,5.03351688e-02,8.06190497e-09
7.06000000e+02,5.94079494e-02,9.76688338e-09
5.26000000e+02,4.43167686e-02,8.67440312e-09
7.00000000e+02,5.89389801e-02,9.42592658e-09
6.67000000e+02,5.59539795e-02,9.96712544e-09
7.54000000e+02,6.34610653e-02,9.72299790e-09
7.24000000e+02,6.08284473e-02,9.79625679e-09
7.32000000e+02,6.14850521e-02,9.89496624e-09
7.33000000e+02,6.19721413e-02,8.39668457e-09
6.42000000e+02,5.38089275e-02,8.33553199e-09
7.02000000e+02,5.88581562e-02,9.38990413e-09
6.55000000e+02,5.49836159e-02,8.28569318e-09
5.31000000e+02,4.45194244e-02,9.87193357e-09
7.11000000e+02,5.95014095e-02,9.56976928e-09
7.04000000e+02,5.90417385e-02,9.61379329e-09
7.19000000e+02,6.02197647e-02,9.89540105e-09
6.84000000e+02,5.74181080e-02,8.48581890e-09
7.01000000e+02,5.86879253e-02,9.27378565e-09
7.01000000e+02,5.88846207e-02,9.33184290e-09
7.15000000e+02,6.00712299e-02,9.36870625e-09
6.73000000e+02,5.65967560e-02,8.84021066e-09
7.36000000e+02,6.17015362e-02,9.97793251e-09
