Niters,ExcTime,GNorm
1.47400000e+03,1.06606293e+00,9.86380687e-09
1.47200000e+03,1.06629491e+00,9.90824641e-09
1.47200000e+03,1.06601644e+00,9.88854988e-09
1.47200000e+03,1.06603789e+00,9.84384722e-09
1.47600000e+03,1.06799603e+00,9.91060657e-09
1.47300000e+03,1.06561804e+00,9.91290234e-09
1.47100000e+03,1.06566429e+00,9.87494863e-09
1.47100000e+03,1.06566405e+00,9.99996308e-09
1.47100000e+03,1.06035471e+00,9.89050372e-09
1.47700000e+03,1.06462669e+00,9.90095013e-09
1.46900000e+03,1.06148505e+00,9.91559740e-09
1.47100000e+03,1.06143570e+00,9.93614537e-09
1.47200000e+03,1.06561923e+00,9.92746914e-09
1.47300000e+03,1.06246066e+00,9.88662479e-09
1.47200000e+03,1.06316471e+00,9.85874951e-09
1.47100000e+03,1.06142664e+00,9.89078220e-09
1.47300000e+03,1.06277275e+00,9.87164638e-09
1.47300000e+03,1.06323123e+00,9.82213408e-09
1.47300000e+03,1.06352806e+00,9.84018305e-09
1.47100000e+03,1.06921077e+00,9.90226540e-09
1.47400000e+03,1.07145238e+00,9.91254024e-09
1.46900000e+03,1.06809020e+00,9.97850683e-09
1.47400000e+03,1.07638955e+00,9.97028208e-09
1.47500000e+03,1.07575536e+00,9.93784647e-09
1.47100000e+03,1.07158947e+00,9.91104682e-09
1.47000000e+03,1.07045698e+00,9.95584450e-09
1.47000000e+03,1.07015061e+00,9.99593203e-09
1.46900000e+03,1.06960320e+00,9.96999185e-09
1.47200000e+03,1.07158947e+00,9.99054503e-09
1.47300000e+03,1.07289410e+00,9.81704314e-09
