Niters,ExcTime,GNorm
3.28000000e+02,2.76851654e-02,7.05432519e-09
2.85000000e+02,2.40333080e-02,8.53492924e-09
3.11000000e+02,2.61819363e-02,9.64845707e-09
3.10000000e+02,2.60796547e-02,9.96436549e-09
3.01000000e+02,2.54015923e-02,7.06202985e-09
3.10000000e+02,2.60930061e-02,8.80624189e-09
2.59000000e+02,2.18470097e-02,9.91721240e-09
3.21000000e+02,2.71077156e-02,8.71408649e-09
2.85000000e+02,2.39973068e-02,7.61699448e-09
2.96000000e+02,2.50043869e-02,9.37253132e-09
2.31000000e+02,1.94504261e-02,9.75969130e-09
3.15000000e+02,2.65741348e-02,9.79096635e-09
2.76000000e+02,2.33566761e-02,9.62414953e-09
3.19000000e+02,2.69241333e-02,8.99685984e-09
2.78000000e+02,2.34546661e-02,9.98492821e-09
3.15000000e+02,2.65569687e-02,9.98819953e-09
3.08000000e+02,2.59411335e-02,9.44698532e-09
2.77000000e+02,2.34038830e-02,9.94230991e-09
2.89000000e+02,2.44734287e-02,9.20400108e-09
2.95000000e+02,2.48553753e-02,8.67830414e-09
2.33000000e+02,1.96895599e-02,9.78028731e-09
2.83000000e+02,2.38335133e-02,9.71623816e-09
2.88000000e+02,2.44233608e-02,9.95313861e-09
3.10000000e+02,2.62296200e-02,8.89114444e-09
2.92000000e+02,2.46763229e-02,8.77240496e-09
2.89000000e+02,2.43890285e-02,9.40293893e-09
2.70000000e+02,2.29127407e-02,9.65997453e-09
2.99000000e+02,2.52227783e-02,8.57244475e-09
2.95000000e+02,2.49433517e-02,9.65170018e-09
3.17000000e+02,2.67550945e-02,9.62890953e-09
