Niters,ExcTime,GNorm
1.33900000e+03,6.64989948e-02,9.32940929e-09
1.33000000e+03,6.59153461e-02,8.59978190e-09
1.34800000e+03,6.74960613e-02,6.99593529e-09
1.29400000e+03,6.40771389e-02,8.59884069e-09
1.31900000e+03,6.53164387e-02,9.05223246e-09
1.34600000e+03,6.68365955e-02,9.52880176e-09
1.31500000e+03,6.56168461e-02,9.56212769e-09
1.31600000e+03,6.61509037e-02,9.78146134e-09
1.31000000e+03,6.59446716e-02,9.87033077e-09
1.30500000e+03,6.59866333e-02,8.82238449e-09
1.32900000e+03,6.61861897e-02,7.89037758e-09
1.33000000e+03,6.70568943e-02,9.34409560e-09
1.28200000e+03,6.35821819e-02,9.40180225e-09
1.32100000e+03,6.57467842e-02,8.99536332e-09
1.32900000e+03,6.68518543e-02,8.57362737e-09
1.29400000e+03,6.50465488e-02,9.02936539e-09
1.32600000e+03,6.62217140e-02,8.92161731e-09
1.32000000e+03,6.57598972e-02,9.85815640e-09
1.28500000e+03,6.41782284e-02,9.39286989e-09
1.33500000e+03,6.68621063e-02,9.70087653e-09
1.32400000e+03,6.68830872e-02,9.39738575e-09
1.33800000e+03,6.74912930e-02,9.17037462e-09
1.33200000e+03,5.19425869e-02,9.94219580e-09
1.32300000e+03,5.16083241e-02,9.62500090e-09
1.30400000e+03,5.06906509e-02,9.65979217e-09
1.33500000e+03,5.19452095e-02,9.96694417e-09
1.32800000e+03,5.18167019e-02,9.42038197e-09
1.31700000e+03,5.22387028e-02,8.40563442e-09
1.29900000e+03,4.94842529e-02,8.82951651e-09
1.31700000e+03,4.80532646e-02,8.34603454e-09
