Niters,ExcTime,GNorm
4.38000000e+02,4.75890636e-02,9.66465980e-09
4.35000000e+02,4.73699570e-02,9.60744555e-09
4.40000000e+02,4.75852489e-02,9.20356991e-09
4.30000000e+02,4.66928482e-02,9.80425302e-09
4.62000000e+02,5.03299236e-02,9.95701595e-09
4.42000000e+02,4.82866764e-02,9.53583149e-09
4.35000000e+02,4.75533009e-02,9.54292138e-09
4.36000000e+02,4.78560925e-02,9.86245639e-09
4.35000000e+02,4.75475788e-02,9.36850045e-09
4.43000000e+02,4.86478806e-02,9.85916811e-09
4.37000000e+02,4.78096008e-02,9.88400033e-09
4.40000000e+02,4.82172966e-02,9.76578568e-09
4.27000000e+02,4.68330383e-02,9.31709447e-09
4.37000000e+02,4.80086803e-02,9.94144111e-09
4.42000000e+02,4.83484268e-02,9.74233387e-09
4.78000000e+02,5.23247719e-02,9.79530675e-09
4.36000000e+02,4.73823547e-02,9.69867839e-09
4.35000000e+02,4.75208759e-02,9.59736327e-09
4.29000000e+02,4.65729237e-02,9.82415791e-09
4.36000000e+02,4.74281311e-02,9.62708490e-09
4.36000000e+02,4.75685596e-02,9.81469031e-09
4.40000000e+02,4.79753017e-02,9.68230431e-09
4.37000000e+02,4.76677418e-02,9.91764185e-09
4.36000000e+02,4.74691391e-02,9.31756573e-09
4.34000000e+02,4.72459793e-02,9.86162877e-09
4.37000000e+02,4.76202965e-02,9.58105570e-09
4.38000000e+02,4.70514297e-02,9.74820877e-09
4.36000000e+02,4.74321842e-02,9.39957597e-09
4.39000000e+02,4.71403599e-02,9.77101460e-09
4.33000000e+02,4.71920967e-02,9.84823787e-09
