Niters,ExcTime,GNorm
4.68000000e+02,3.35652113e-01,9.89545999e-09
4.68000000e+02,3.34674358e-01,9.65507271e-09
4.68000000e+02,3.34949255e-01,9.75905018e-09
4.68000000e+02,3.34162235e-01,9.95326417e-09
4.70000000e+02,3.35817099e-01,9.58077093e-09
4.68000000e+02,3.34478617e-01,9.86907068e-09
4.67000000e+02,3.33900928e-01,9.96287645e-09
4.68000000e+02,3.35782290e-01,9.53823121e-09
4.68000000e+02,3.33889246e-01,9.43698073e-09
4.69000000e+02,3.34782600e-01,9.69333587e-09
4.68000000e+02,3.34292650e-01,9.52170575e-09
4.68000000e+02,3.35042477e-01,9.69684366e-09
4.68000000e+02,3.34447861e-01,9.98682429e-09
4.67000000e+02,3.33837032e-01,9.93046046e-09
4.68000000e+02,3.34586859e-01,9.76984537e-09
4.68000000e+02,3.34570169e-01,9.66096281e-09
4.68000000e+02,3.34620953e-01,9.96179959e-09
4.68000000e+02,3.34822178e-01,9.79942523e-09
4.69000000e+02,3.35561037e-01,9.41380607e-09
4.68000000e+02,3.34302425e-01,9.56718841e-09
4.69000000e+02,3.34946871e-01,9.75052463e-09
4.68000000e+02,3.34657907e-01,9.55562693e-09
4.69000000e+02,3.35132122e-01,9.42916292e-09
4.69000000e+02,3.36199522e-01,9.59441021e-09
4.68000000e+02,3.35430861e-01,9.55728416e-09
4.67000000e+02,3.37671995e-01,9.81294008e-09
4.68000000e+02,3.37442160e-01,9.61416428e-09
4.68000000e+02,3.37521791e-01,9.50497640e-09
4.69000000e+02,3.38358164e-01,9.43391444e-09
4.69000000e+02,3.38558912e-01,9.50056689e-09
