Niters,ExcTime,GNorm
1.47400000e+03,1.05817413e+00,9.89019047e-09
1.47700000e+03,1.06178951e+00,9.99861594e-09
1.47200000e+03,1.05815506e+00,9.93599581e-09
1.47300000e+03,1.05875444e+00,9.84253073e-09
1.48000000e+03,1.06090856e+00,9.82939610e-09
1.47300000e+03,1.07049489e+00,9.97343885e-09
1.47100000e+03,1.07680726e+00,9.82356982e-09
1.47200000e+03,1.06913233e+00,9.81503967e-09
1.47100000e+03,1.06729960e+00,9.91678291e-09
1.47400000e+03,1.06935430e+00,9.97587472e-09
1.46900000e+03,1.06535673e+00,9.97869162e-09
1.47200000e+03,1.06756186e+00,9.93667539e-09
1.47200000e+03,1.07006335e+00,9.98378166e-09
1.47500000e+03,1.07042456e+00,9.84342171e-09
1.47500000e+03,1.06854010e+00,9.82668489e-09
1.47100000e+03,1.06560016e+00,9.91976485e-09
1.47500000e+03,1.06494737e+00,9.88088399e-09
1.47300000e+03,1.06230855e+00,9.83709914e-09
1.47300000e+03,1.06262183e+00,9.92717160e-09
1.47400000e+03,1.06592298e+00,9.90855267e-09
1.47400000e+03,1.06438351e+00,9.94244613e-09
1.46900000e+03,1.05972123e+00,9.91977750e-09
1.47400000e+03,1.06404924e+00,9.93053311e-09
1.47600000e+03,1.06491566e+00,9.89989264e-09
1.47100000e+03,1.06277585e+00,9.94980352e-09
1.47000000e+03,1.06342697e+00,9.99213529e-09
1.47100000e+03,1.06194377e+00,9.82671459e-09
1.47300000e+03,1.06459904e+00,9.89068282e-09
1.47500000e+03,1.07180405e+00,9.92636249e-09
1.47300000e+03,1.06912923e+00,9.86764479e-09
