Niters,ExcTime,GNorm
1.41000000e+02,2.08847523e-02,9.36450859e-09
1.41000000e+02,2.09136009e-02,8.45786900e-09
1.42000000e+02,2.10306644e-02,8.20435941e-09
1.39000000e+02,1.48274899e-02,9.53393821e-09
1.40000000e+02,1.49993896e-02,9.93858801e-09
1.42000000e+02,1.51822567e-02,8.40548174e-09
1.40000000e+02,1.49328709e-02,9.60532186e-09
1.41000000e+02,1.50618553e-02,8.89229011e-09
1.40000000e+02,1.49738789e-02,9.79089187e-09
1.41000000e+02,1.50451660e-02,8.85425824e-09
1.41000000e+02,1.53033733e-02,9.13477160e-09
1.42000000e+02,1.55239105e-02,8.16431214e-09
1.39000000e+02,1.50530338e-02,8.74732173e-09
1.41000000e+02,1.52862072e-02,8.05309596e-09
1.41000000e+02,1.52373314e-02,9.96667136e-09
1.40000000e+02,1.52776241e-02,9.16510137e-09
1.41000000e+02,1.51906013e-02,8.47446479e-09
1.40000000e+02,1.50995255e-02,9.75533272e-09
1.39000000e+02,1.51214600e-02,9.93587107e-09
1.41000000e+02,1.53119564e-02,8.96970982e-09
1.41000000e+02,1.53295994e-02,9.15295110e-09
1.41000000e+02,1.53090954e-02,9.77775578e-09
1.41000000e+02,1.52335167e-02,9.22738204e-09
1.41000000e+02,1.52425766e-02,8.49130807e-09
1.40000000e+02,1.51510239e-02,9.10284119e-09
1.41000000e+02,1.52418613e-02,9.01495688e-09
1.41000000e+02,1.52494907e-02,8.75823984e-09
1.41000000e+02,1.52733326e-02,8.57412275e-09
1.40000000e+02,1.51278973e-02,9.44236137e-09
1.40000000e+02,1.51152611e-02,8.96046263e-09
