Niters,ExcTime,GNorm
4.40000000e+02,4.95150089e-02,9.55214447e-09
4.35000000e+02,4.92253304e-02,9.84267476e-09
4.40000000e+02,4.96137142e-02,9.28147886e-09
4.31000000e+02,4.87365723e-02,9.60604536e-09
4.47000000e+02,5.08246422e-02,9.95692259e-09
4.40000000e+02,4.97648716e-02,9.75055882e-09
4.35000000e+02,4.95042801e-02,9.69585910e-09
4.36000000e+02,4.95200157e-02,9.96860995e-09
4.35000000e+02,4.92868423e-02,9.83658907e-09
4.39000000e+02,4.96444702e-02,9.57646778e-09
4.37000000e+02,4.95667458e-02,9.78574268e-09
4.41000000e+02,4.99663353e-02,9.62646199e-09
4.27000000e+02,4.82726097e-02,9.56409054e-09
4.38000000e+02,4.95326519e-02,9.64764336e-09
4.38000000e+02,4.96401787e-02,9.47354975e-09
4.35000000e+02,4.92522717e-02,9.73781839e-09
4.39000000e+02,4.96275425e-02,9.76425470e-09
4.38000000e+02,4.94480133e-02,9.73908206e-09
4.31000000e+02,4.86779213e-02,9.98130060e-09
4.35000000e+02,4.92885113e-02,9.85731659e-09
4.37000000e+02,4.93717194e-02,9.49796429e-09
4.45000000e+02,5.01391888e-02,9.85389785e-09
4.38000000e+02,4.96215820e-02,9.73706891e-09
4.36000000e+02,4.94236946e-02,9.60783889e-09
4.37000000e+02,4.92379665e-02,9.65671190e-09
4.37000000e+02,4.89048958e-02,9.81630779e-09
4.37000000e+02,4.89325523e-02,9.58161015e-09
4.59000000e+02,5.10554314e-02,9.95998548e-09
4.33000000e+02,4.84750271e-02,9.94314049e-09
4.34000000e+02,4.85177040e-02,9.56756339e-09
