Niters,ExcTime,GNorm
1.44000000e+02,6.12759590e-03,9.89432371e-09
1.43000000e+02,5.57041168e-03,9.72300785e-09
1.45000000e+02,5.75995445e-03,8.52722402e-09
1.42000000e+02,5.65814972e-03,8.01923347e-09
1.43000000e+02,5.52010536e-03,8.88501897e-09
1.44000000e+02,5.54943085e-03,9.93787916e-09
1.43000000e+02,5.57231903e-03,9.14303284e-09
1.44000000e+02,5.72872162e-03,8.24425995e-09
1.43000000e+02,5.54990768e-03,8.23484688e-09
1.43000000e+02,5.73015213e-03,8.62928078e-09
1.44000000e+02,5.70034981e-03,8.86874544e-09
1.44000000e+02,5.59282303e-03,9.97480802e-09
1.42000000e+02,5.78832626e-03,8.23962667e-09
1.43000000e+02,5.71489334e-03,9.81229220e-09
1.45000000e+02,5.77807426e-03,7.99743553e-09
1.42000000e+02,5.63645363e-03,9.97990220e-09
1.44000000e+02,4.78672981e-03,8.28605048e-09
1.43000000e+02,4.70399857e-03,9.33434348e-09
1.42000000e+02,4.70471382e-03,8.60936263e-09
1.44000000e+02,4.75430489e-03,8.46194713e-09
1.44000000e+02,4.76503372e-03,7.93801196e-09
1.44000000e+02,4.76479530e-03,8.77034135e-09
1.44000000e+02,4.77910042e-03,9.27186615e-09
1.44000000e+02,4.81462479e-03,8.36035889e-09
1.42000000e+02,4.66799736e-03,9.68529730e-09
1.44000000e+02,4.73403931e-03,9.10516701e-09
1.44000000e+02,4.78053093e-03,8.47551359e-09
1.43000000e+02,4.66322899e-03,9.45146953e-09
1.43000000e+02,4.72998619e-03,9.05622406e-09
1.42000000e+02,4.69279289e-03,9.79059568e-09
