Niters,ExcTime,GNorm
2.33000000e+02,3.46572399e-02,9.10121663e-09
2.13000000e+02,2.99766064e-02,8.74539315e-09
2.34000000e+02,2.50365734e-02,9.51944769e-09
1.93000000e+02,2.04370022e-02,9.61663114e-09
2.11000000e+02,2.22837925e-02,8.16159516e-09
2.43000000e+02,2.65078545e-02,9.55267962e-09
1.88000000e+02,1.93967819e-02,9.98978722e-09
2.26000000e+02,2.39245892e-02,9.62071584e-09
2.13000000e+02,2.37789154e-02,9.60024406e-09
1.83000000e+02,2.05874443e-02,9.10093229e-09
2.08000000e+02,2.23376751e-02,9.63075897e-09
2.14000000e+02,2.25009918e-02,9.79388992e-09
2.10000000e+02,2.25441456e-02,9.31452213e-09
2.25000000e+02,2.39925385e-02,8.51490064e-09
2.12000000e+02,2.27742195e-02,9.54417363e-09
1.87000000e+02,2.01103687e-02,9.39034086e-09
2.36000000e+02,2.51083374e-02,8.55616287e-09
2.03000000e+02,2.17084885e-02,9.08133361e-09
1.88000000e+02,1.99656487e-02,8.54086334e-09
2.43000000e+02,2.64105797e-02,9.65574693e-09
2.11000000e+02,2.12631226e-02,9.90983145e-09
2.30000000e+02,2.45449543e-02,9.94833020e-09
2.35000000e+02,2.55997181e-02,8.51678760e-09
2.20000000e+02,2.35769749e-02,9.81299487e-09
2.08000000e+02,2.30026245e-02,9.47671685e-09
2.17000000e+02,2.34134197e-02,9.33355002e-09
2.45000000e+02,2.61387825e-02,9.68023545e-09
2.07000000e+02,2.23815441e-02,9.84980546e-09
2.23000000e+02,2.39593983e-02,8.88333912e-09
1.76000000e+02,1.87146664e-02,9.41613407e-09
