Niters,ExcTime,GNorm
3.98000000e+02,1.86994076e-02,9.79884148e-09
2.94000000e+02,1.38616562e-02,7.27216729e-09
3.53000000e+02,1.65810585e-02,9.91413892e-09
2.54000000e+02,1.18544102e-02,7.87335126e-09
2.78000000e+02,1.30629539e-02,7.73852058e-09
3.38000000e+02,1.59270763e-02,9.54757190e-09
2.57000000e+02,1.21741295e-02,8.77595093e-09
3.06000000e+02,1.44605637e-02,7.04339463e-09
2.79000000e+02,1.34105682e-02,9.77467346e-09
2.42000000e+02,1.14099979e-02,8.36080807e-09
2.80000000e+02,1.33273602e-02,8.89261340e-09
3.19000000e+02,1.51581764e-02,7.73177091e-09
3.02000000e+02,1.41618252e-02,9.08512969e-09
3.18000000e+02,1.49250031e-02,9.78896381e-09
3.06000000e+02,1.44228935e-02,9.21835148e-09
2.37000000e+02,1.11720562e-02,7.86537837e-09
3.20000000e+02,1.50082111e-02,9.45697593e-09
2.92000000e+02,1.37016773e-02,9.92350066e-09
2.53000000e+02,1.18813515e-02,8.57891315e-09
3.66000000e+02,1.72457695e-02,6.71288885e-09
3.00000000e+02,1.40922070e-02,8.74681726e-09
3.08000000e+02,1.23622417e-02,6.17687022e-09
3.46000000e+02,1.18079185e-02,9.88693296e-09
3.09000000e+02,1.06942654e-02,6.36523046e-09
3.03000000e+02,1.03697777e-02,8.42929078e-09
3.28000000e+02,1.13101006e-02,8.21619050e-09
3.75000000e+02,1.27468109e-02,6.04568602e-09
2.80000000e+02,9.63807106e-03,8.67446206e-09
3.48000000e+02,1.18961334e-02,9.25453027e-09
2.34000000e+02,8.08000565e-03,8.93777530e-09
