Niters,ExcTime,GNorm
7.10000000e+01,5.87940216e-03,9.12196141e-09
6.10000000e+01,4.83226776e-03,4.63030956e-09
6.60000000e+01,5.22828102e-03,8.79623958e-09
6.40000000e+01,5.06258011e-03,6.94198461e-09
6.50000000e+01,5.11956215e-03,7.83453742e-09
6.50000000e+01,5.13362885e-03,4.34407242e-09
6.10000000e+01,4.78386879e-03,6.60226080e-09
6.90000000e+01,5.43308258e-03,7.99263247e-09
6.90000000e+01,5.55372238e-03,5.74792523e-09
5.60000000e+01,4.39953804e-03,5.91629932e-09
4.80000000e+01,3.77702713e-03,7.61557698e-09
6.30000000e+01,4.93359566e-03,4.72310902e-09
7.20000000e+01,5.75852394e-03,8.90764430e-09
5.40000000e+01,4.28795815e-03,8.07246267e-09
6.80000000e+01,5.35392761e-03,5.27251457e-09
6.80000000e+01,5.37252426e-03,8.32489068e-09
6.60000000e+01,5.17630577e-03,5.15471343e-09
5.50000000e+01,4.32658195e-03,8.08479355e-09
5.50000000e+01,4.31728363e-03,6.18139123e-09
6.40000000e+01,5.06067276e-03,4.94857755e-09
6.40000000e+01,5.07640839e-03,8.81531463e-09
6.70000000e+01,5.29718399e-03,8.87235606e-09
5.90000000e+01,4.67324257e-03,7.74339824e-09
6.30000000e+01,4.94313240e-03,7.97394779e-09
5.50000000e+01,4.35900688e-03,7.02491744e-09
6.20000000e+01,4.90832329e-03,8.55660098e-09
6.50000000e+01,5.11336327e-03,9.64847165e-09
6.10000000e+01,4.83131409e-03,6.16584970e-09
6.20000000e+01,4.90307808e-03,7.69300136e-09
6.60000000e+01,5.20825386e-03,9.24910410e-09
