Niters,ExcTime,GNorm
8.80000000e+01,4.65440750e-03,7.17571964e-09
8.80000000e+01,4.24027443e-03,8.25120565e-09
8.80000000e+01,4.32610512e-03,7.74338997e-09
8.60000000e+01,4.11963463e-03,9.33457199e-09
8.80000000e+01,4.21667099e-03,6.16068152e-09
8.80000000e+01,4.22596931e-03,6.55850777e-09
8.60000000e+01,4.13560867e-03,7.86659669e-09
8.80000000e+01,5.81121445e-03,7.76078731e-09
8.80000000e+01,4.23479080e-03,6.75978147e-09
8.80000000e+01,4.19020653e-03,6.81840085e-09
8.80000000e+01,4.22477722e-03,6.49348783e-09
8.80000000e+01,4.18710709e-03,6.53024261e-09
8.80000000e+01,4.19950485e-03,6.66465811e-09
8.80000000e+01,4.30917740e-03,7.60364726e-09
8.80000000e+01,4.16040421e-03,7.19067939e-09
8.60000000e+01,4.06360626e-03,8.72136242e-09
8.80000000e+01,4.17184830e-03,7.75800709e-09
8.80000000e+01,4.25052643e-03,7.12696195e-09
8.60000000e+01,4.09722328e-03,8.29462272e-09
8.60000000e+01,4.05430794e-03,9.44916078e-09
8.80000000e+01,4.19974327e-03,7.83095531e-09
8.60000000e+01,4.07552719e-03,7.12485869e-09
8.80000000e+01,4.22787666e-03,7.48161523e-09
8.80000000e+01,4.15253639e-03,6.06891509e-09
8.80000000e+01,4.16660309e-03,6.94997958e-09
8.80000000e+01,4.10938263e-03,6.63307653e-09
8.80000000e+01,4.12011147e-03,7.72379739e-09
8.80000000e+01,4.17184830e-03,7.65139448e-09
8.80000000e+01,4.12368774e-03,6.89022063e-09
8.60000000e+01,4.10079956e-03,6.97320891e-09
