Niters,ExcTime,GNorm
4.54000000e+02,6.36062622e-02,9.76622250e-09
3.39000000e+02,3.60932350e-02,9.86895122e-09
3.94000000e+02,4.13336754e-02,9.63163963e-09
2.79000000e+02,2.92189121e-02,8.58731239e-09
3.68000000e+02,3.81777287e-02,9.87216837e-09
4.65000000e+02,4.83565331e-02,9.67484419e-09
3.07000000e+02,3.21943760e-02,9.77609318e-09
3.28000000e+02,3.43852043e-02,9.22345263e-09
4.02000000e+02,4.21242714e-02,9.83798903e-09
2.84000000e+02,2.99534798e-02,8.11980486e-09
3.56000000e+02,3.68230343e-02,9.93822481e-09
3.93000000e+02,4.10645008e-02,9.78401893e-09
3.25000000e+02,3.38189602e-02,9.60347883e-09
3.54000000e+02,3.71322632e-02,9.46998130e-09
3.40000000e+02,3.55460644e-02,9.74496761e-09
2.74000000e+02,2.87656784e-02,9.71231987e-09
3.97000000e+02,4.17504311e-02,9.83634141e-09
3.49000000e+02,3.63397598e-02,8.47060706e-09
2.87000000e+02,3.01022530e-02,9.05222031e-09
4.21000000e+02,4.38644886e-02,9.34563166e-09
3.34000000e+02,3.47146988e-02,9.05126287e-09
3.50000000e+02,3.67705822e-02,9.84869625e-09
3.80000000e+02,3.99057865e-02,8.70031447e-09
3.30000000e+02,3.48901749e-02,8.65815610e-09
3.29000000e+02,3.44519615e-02,8.59311027e-09
3.66000000e+02,3.85577679e-02,9.76034786e-09
4.17000000e+02,4.32939529e-02,9.49684524e-09
3.23000000e+02,3.45366001e-02,9.69201844e-09
3.76000000e+02,3.93478870e-02,8.24577414e-09
2.81000000e+02,2.97701359e-02,9.33515453e-09
