Niters,ExcTime,GNorm
2.73000000e+02,3.45631528e+00,9.61152968e-09
2.69000000e+02,3.32275438e+00,9.78545683e-09
2.71000000e+02,3.30761480e+00,9.68859014e-09
2.65000000e+02,3.39821863e+00,9.70405027e-09
2.75000000e+02,3.34315109e+00,9.65971323e-09
2.71000000e+02,3.51802516e+00,9.99056804e-09
2.56000000e+02,3.19258833e+00,9.98191773e-09
2.75000000e+02,3.50687313e+00,9.26436316e-09
2.71000000e+02,3.51405263e+00,9.20899933e-09
2.73000000e+02,3.43866396e+00,9.26915096e-09
2.64000000e+02,3.28841186e+00,9.77562183e-09
2.74000000e+02,3.42389178e+00,9.97698629e-09
2.73000000e+02,3.51364756e+00,9.41640064e-09
2.67000000e+02,3.34268546e+00,9.72906583e-09
2.69000000e+02,3.47477794e+00,9.25422494e-09
2.71000000e+02,3.38734794e+00,9.65830177e-09
2.73000000e+02,3.38690686e+00,9.76075661e-09
2.66000000e+02,3.21649051e+00,9.98843826e-09
2.75000000e+02,3.44992733e+00,9.76649562e-09
2.72000000e+02,3.28348780e+00,9.91440239e-09
2.73000000e+02,3.30020642e+00,9.84881405e-09
2.71000000e+02,3.48886323e+00,9.99118380e-09
2.73000000e+02,3.29020524e+00,9.65364831e-09
2.73000000e+02,3.33816886e+00,9.20603148e-09
2.70000000e+02,3.25562668e+00,9.63047448e-09
2.74000000e+02,3.42363858e+00,9.48173494e-09
2.67000000e+02,3.37764120e+00,9.39709991e-09
2.67000000e+02,3.45625639e+00,9.49908954e-09
2.72000000e+02,3.41998577e+00,9.97400378e-09
2.75000000e+02,3.45069194e+00,9.82149293e-09
