Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,8.7500e+01,6.7996e-03,8.2881e-09
1.0000e+02,1.0000e+03,2.2690e+02,1.7414e-02,9.2753e-09
1.0000e+02,1.0000e+04,5.5580e+02,4.5403e-02,9.5204e-09
1.0000e+02,1.0000e+05,1.3139e+03,1.0543e-01,9.4927e-09
1.0000e+03,1.0000e+02,1.0820e+02,1.1962e-02,9.1448e-09
1.0000e+03,1.0000e+03,3.3650e+02,3.7358e-02,9.6687e-09
1.0000e+03,1.0000e+04,1.0341e+03,1.1218e-01,9.8829e-09
1.0000e+03,1.0000e+05,3.1596e+03,3.3865e-01,9.9729e-09
1.0000e+04,1.0000e+02,1.1500e+02,1.4525e+00,9.3897e-09
1.0000e+04,1.0000e+03,3.6370e+02,4.5520e+00,9.6783e-09
1.0000e+04,1.0000e+04,1.1431e+03,1.4455e+01,9.9018e-09
1.0000e+04,1.0000e+05,3.5894e+03,4.9391e+01,9.9714e-09
