Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,1.0000e+04,7.3940e-01,7.1094e+00
1.0000e+02,1.0000e+03,1.0000e+04,7.3375e-01,5.6522e+01
1.0000e+02,1.0000e+04,1.0000e+04,7.4224e-01,4.6901e+02
1.0000e+02,1.0000e+05,1.0000e+04,7.4309e-01,4.1204e+03
1.0000e+03,1.0000e+02,1.0000e+04,1.0831e+00,2.2065e+01
1.0000e+03,1.0000e+03,1.0000e+04,1.0696e+00,1.7860e+02
1.0000e+03,1.0000e+04,1.0000e+04,1.0695e+00,1.5415e+03
1.0000e+03,1.0000e+05,1.0000e+04,1.0654e+00,1.3810e+04
1.0000e+04,1.0000e+02,1.0000e+04,1.3128e+02,7.0083e+01
1.0000e+04,1.0000e+03,1.0000e+04,1.3168e+02,5.6953e+02
1.0000e+04,1.0000e+04,1.0000e+04,1.3125e+02,4.9078e+03
1.0000e+04,1.0000e+05,1.0000e+04,1.2772e+02,4.3796e+04
