Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,5.4390e+02,4.5828e-02,9.8769e-09
1.0000e+02,1.0000e+03,5.4357e+03,4.1037e-01,9.9866e-09
1.0000e+02,1.0000e+04,1.0000e+04,7.4238e-01,1.4766e-02
1.0000e+02,1.0000e+05,1.0000e+04,7.4301e-01,1.2756e+00
1.0000e+03,1.0000e+02,6.0030e+02,6.6268e-02,9.8864e-09
1.0000e+03,1.0000e+03,5.8975e+03,6.4945e-01,9.9789e-09
1.0000e+03,1.0000e+04,1.0000e+04,1.0990e+00,6.1437e-02
1.0000e+03,1.0000e+05,1.0000e+04,1.1015e+00,4.1497e+00
1.0000e+04,1.0000e+02,6.4230e+02,8.9950e+00,9.8751e-09
1.0000e+04,1.0000e+03,6.3313e+03,8.0062e+01,9.9820e-09
1.0000e+04,1.0000e+04,1.0000e+04,1.3047e+02,2.0844e-01
1.0000e+04,1.0000e+05,1.0000e+04,1.3136e+02,1.3299e+01
