Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,8.7800e+01,1.9056e-02,9.0277e-09
1.0000e+02,1.0000e+03,2.2890e+02,1.9179e-02,8.8820e-09
1.0000e+02,1.0000e+04,5.6530e+02,4.4943e-02,9.6344e-09
1.0000e+02,1.0000e+05,1.3404e+03,1.0540e-01,9.6913e-09
1.0000e+03,1.0000e+02,1.0830e+02,1.2168e-02,9.0291e-09
1.0000e+03,1.0000e+03,3.3670e+02,3.8187e-02,9.7143e-09
1.0000e+03,1.0000e+04,1.0353e+03,1.1099e-01,9.9111e-09
1.0000e+03,1.0000e+05,3.1639e+03,3.4224e-01,9.9676e-09
1.0000e+04,1.0000e+02,1.1500e+02,1.4439e+00,9.3897e-09
1.0000e+04,1.0000e+03,3.6380e+02,4.7413e+00,9.6222e-09
1.0000e+04,1.0000e+04,1.1433e+03,1.5063e+01,9.8844e-09
1.0000e+04,1.0000e+05,3.5901e+03,4.4883e+01,9.9780e-09
