Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,8.1600e+01,2.8503e-03,7.3573e-09
1.0000e+02,1.0000e+03,1.7980e+02,6.1474e-03,6.6312e-09
1.0000e+02,1.0000e+04,3.6980e+02,1.2681e-02,7.3686e-09
1.0000e+02,1.0000e+05,7.1390e+02,2.2138e-02,8.0849e-09
1.0000e+03,1.0000e+02,1.1160e+02,5.2350e-03,9.0110e-09
1.0000e+03,1.0000e+03,3.4520e+02,1.3260e-02,9.3566e-09
1.0000e+03,1.0000e+04,1.0501e+03,3.8862e-02,9.2943e-09
1.0000e+03,1.0000e+05,3.1488e+03,1.2074e-01,9.3982e-09
1.0000e+04,1.0000e+02,1.1900e+02,1.4586e+00,8.9870e-09
1.0000e+04,1.0000e+03,3.8110e+02,4.9578e+00,9.7475e-09
1.0000e+04,1.0000e+04,1.2206e+03,1.6697e+01,9.8262e-09
1.0000e+04,1.0000e+05,3.9038e+03,5.2510e+01,9.8741e-09
