Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,8.2920e+02,3.1340e-02,9.8838e-09
1.0000e+02,1.0000e+03,8.1665e+03,2.9012e-01,9.9899e-09
1.0000e+02,1.0000e+04,1.0000e+04,3.4473e-01,5.2710e-02
1.0000e+02,1.0000e+05,1.0000e+04,3.4518e-01,2.0087e+00
1.0000e+03,1.0000e+02,9.0080e+02,5.5378e-02,9.8643e-09
1.0000e+03,1.0000e+03,8.8717e+03,5.4255e-01,9.9904e-09
1.0000e+03,1.0000e+04,1.0000e+04,6.0935e-01,2.1798e-01
1.0000e+03,1.0000e+05,1.0000e+04,6.0143e-01,6.4320e+00
1.0000e+04,1.0000e+02,9.6320e+02,1.1913e+01,9.8658e-09
1.0000e+04,1.0000e+03,9.4991e+03,1.1919e+02,9.9854e-09
1.0000e+04,1.0000e+04,1.0000e+04,1.2556e+02,7.2112e-01
1.0000e+04,1.0000e+05,1.0000e+04,1.2425e+02,2.0594e+01
