Niters,ExcTime,GNorm
1.24000000e+02,1.25365257e-01,8.52396790e-09
1.24000000e+02,1.25747919e-01,9.14550549e-09
1.23000000e+02,1.24355793e-01,9.91274848e-09
1.23000000e+02,1.24170780e-01,9.99435901e-09
1.24000000e+02,1.25654697e-01,9.67896354e-09
1.24000000e+02,1.25103712e-01,8.42434818e-09
1.24000000e+02,1.25391245e-01,8.26172541e-09
1.24000000e+02,1.24616623e-01,8.68034764e-09
1.23000000e+02,1.24855042e-01,9.43287930e-09
1.24000000e+02,1.25026464e-01,8.63214527e-09
1.24000000e+02,1.25281811e-01,8.24748514e-09
1.24000000e+02,1.24986172e-01,8.38267872e-09
1.24000000e+02,1.24401331e-01,9.99844547e-09
1.23000000e+02,1.24753714e-01,9.09828194e-09
1.23000000e+02,1.24151945e-01,9.41426372e-09
1.24000000e+02,1.24704599e-01,8.60284036e-09
1.24000000e+02,1.25093937e-01,8.73252424e-09
1.24000000e+02,1.24684334e-01,8.70938954e-09
1.23000000e+02,1.24341488e-01,9.64750306e-09
1.23000000e+02,1.23911142e-01,9.26278063e-09
1.24000000e+02,1.24773979e-01,9.55770814e-09
1.23000000e+02,1.24321461e-01,9.93893562e-09
1.24000000e+02,1.25580072e-01,8.67017745e-09
1.24000000e+02,1.25390530e-01,8.88146469e-09
1.23000000e+02,1.24435902e-01,9.65557359e-09
1.23000000e+02,1.24376059e-01,9.36241171e-09
1.24000000e+02,1.24611378e-01,9.93461594e-09
1.23000000e+02,1.25004053e-01,9.71769436e-09
1.24000000e+02,1.25487328e-01,8.58876770e-09
1.24000000e+02,1.24698162e-01,9.09409958e-09
