Niters,ExcTime,GNorm
6.50000000e+01,4.09567595e-01,7.99907098e-09
6.00000000e+01,5.68342209e-03,9.77581104e-09
6.30000000e+01,5.37061691e-03,6.47606110e-09
6.60000000e+01,5.39207458e-03,6.88340767e-09
5.50000000e+01,4.69851494e-03,9.53706625e-09
5.90000000e+01,4.84657288e-03,4.98751393e-09
5.50000000e+01,4.59313393e-03,7.21708998e-09
7.00000000e+01,5.72609901e-03,3.69945480e-09
5.40000000e+01,4.69827652e-03,9.10418891e-09
5.90000000e+01,4.78744507e-03,9.64287805e-09
5.30000000e+01,4.56619263e-03,5.31573338e-09
6.10000000e+01,4.96149063e-03,8.20351957e-09
7.30000000e+01,6.23345375e-03,9.56163586e-09
7.00000000e+01,5.71584702e-03,4.54162857e-09
7.10000000e+01,5.88297844e-03,7.31623940e-09
6.60000000e+01,5.40328026e-03,9.44697984e-09
6.20000000e+01,5.30934334e-03,6.19796670e-09
6.30000000e+01,5.10478020e-03,5.65054651e-09
6.50000000e+01,5.21063805e-03,5.92365381e-09
5.80000000e+01,4.71329689e-03,7.16381842e-09
4.80000000e+01,4.04524803e-03,6.37156780e-09
6.20000000e+01,5.04851341e-03,6.70868789e-09
5.50000000e+01,4.49919701e-03,9.95183156e-09
6.00000000e+01,4.85992432e-03,5.86813778e-09
7.10000000e+01,6.03342056e-03,6.01112873e-09
6.10000000e+01,4.95743752e-03,5.34000270e-09
5.70000000e+01,4.55927849e-03,4.66394991e-09
6.30000000e+01,5.12170792e-03,9.71307678e-09
6.00000000e+01,4.99343872e-03,6.72720278e-09
6.20000000e+01,5.03325462e-03,6.21066088e-09
