Niters,ExcTime,GNorm
3.87000000e+02,3.49892616e-01,9.52886091e-09
3.58000000e+02,2.24756002e-01,9.26643509e-09
3.69000000e+02,2.29777098e-01,9.49869141e-09
3.80000000e+02,2.34366417e-01,9.80692809e-09
3.88000000e+02,2.52180099e-01,9.74866732e-09
3.76000000e+02,3.43779325e-01,9.49656845e-09
3.57000000e+02,2.19472647e-01,9.48306996e-09
3.90000000e+02,2.36919403e-01,9.32255737e-09
3.74000000e+02,2.28383780e-01,9.55562228e-09
3.85000000e+02,2.34399796e-01,9.64393246e-09
3.75000000e+02,3.41675997e-01,9.48757759e-09
3.53000000e+02,2.24035740e-01,9.24707850e-09
3.81000000e+02,2.31994867e-01,9.61222108e-09
3.59000000e+02,3.25386524e-01,9.88007027e-09
3.74000000e+02,2.22588062e-01,9.98099774e-09
3.81000000e+02,2.26729155e-01,9.91124057e-09
3.75000000e+02,2.23343372e-01,9.63359939e-09
3.85000000e+02,2.28189945e-01,9.83656552e-09
3.76000000e+02,2.23343611e-01,9.54446529e-09
3.45000000e+02,2.07839012e-01,9.73092322e-09
3.89000000e+02,2.30134249e-01,9.81320222e-09
3.49000000e+02,2.12433100e-01,9.23629589e-09
3.76000000e+02,2.26186275e-01,9.88145862e-09
3.85000000e+02,2.35533476e-01,9.54889943e-09
3.71000000e+02,2.27203369e-01,9.60162302e-09
3.85000000e+02,2.34466314e-01,9.31634907e-09
3.86000000e+02,2.33946562e-01,9.46380324e-09
3.66000000e+02,2.24101305e-01,9.59177309e-09
3.85000000e+02,2.34373093e-01,9.80797898e-09
3.79000000e+02,2.30723858e-01,9.90547710e-09
