Niters,ExcTime,GNorm
3.70000000e+02,3.02051783e-01,9.87626780e-09
3.44000000e+02,2.83723116e-01,9.99752785e-09
3.53000000e+02,2.89598703e-01,9.35056486e-09
3.66000000e+02,2.99655676e-01,9.94996298e-09
3.69000000e+02,3.01572800e-01,9.91629734e-09
3.64000000e+02,2.98264265e-01,9.31144219e-09
3.46000000e+02,2.85417557e-01,9.84994842e-09
3.72000000e+02,3.03959131e-01,9.88925475e-09
3.60000000e+02,2.96515226e-01,9.46267410e-09
3.70000000e+02,3.02684784e-01,9.51436078e-09
3.60000000e+02,2.96683073e-01,9.43090666e-09
3.44000000e+02,2.84303188e-01,9.66858615e-09
3.65000000e+02,2.99582481e-01,9.90533868e-09
3.47000000e+02,2.85817862e-01,9.68035940e-09
3.56000000e+02,2.92534590e-01,9.89351365e-09
3.68000000e+02,3.00535679e-01,9.73891863e-09
3.62000000e+02,2.97216654e-01,9.38911280e-09
3.73000000e+02,3.04441452e-01,9.42846767e-09
3.62000000e+02,2.97221899e-01,9.88343255e-09
3.35000000e+02,2.77697086e-01,9.34490420e-09
3.74000000e+02,3.05345774e-01,9.92220058e-09
3.33000000e+02,2.74590254e-01,9.97527212e-09
3.61000000e+02,2.94944048e-01,9.16637168e-09
3.73000000e+02,3.02717209e-01,9.34210231e-09
3.60000000e+02,2.93466091e-01,9.58367237e-09
3.69000000e+02,3.00451517e-01,9.92555179e-09
3.71000000e+02,3.03674221e-01,9.88031540e-09
3.49000000e+02,2.86062956e-01,9.89201324e-09
3.71000000e+02,3.01710367e-01,9.36564976e-09
3.63000000e+02,2.95638561e-01,9.78307300e-09
