Niters,ExcTime,GNorm
1.09000000e+02,6.76608086e-03,8.91686890e-09
1.19000000e+02,7.82251358e-03,8.42103357e-09
1.13000000e+02,7.26914406e-03,8.52434488e-09
1.12000000e+02,6.99257851e-03,7.53634623e-09
1.20000000e+02,7.25531578e-03,8.99003038e-09
1.17000000e+02,6.87098503e-03,8.88774308e-09
1.18000000e+02,7.41004944e-03,8.21078328e-09
1.12000000e+02,6.46424294e-03,9.94897098e-09
1.18000000e+02,6.24513626e-03,7.62718461e-09
1.17000000e+02,6.26683235e-03,8.53043238e-09
1.20000000e+02,6.39176369e-03,7.98774420e-09
1.21000000e+02,6.33072853e-03,9.17359946e-09
1.02000000e+02,5.40685654e-03,9.64659461e-09
1.19000000e+02,6.26087189e-03,8.58429603e-09
1.19000000e+02,6.04867935e-03,8.62664495e-09
1.11000000e+02,5.83887100e-03,8.58273820e-09
1.18000000e+02,6.17623329e-03,8.90390726e-09
1.12000000e+02,5.84506989e-03,8.99387275e-09
1.08000000e+02,5.54013252e-03,8.58321236e-09
1.11000000e+02,5.82003593e-03,8.30891605e-09
1.19000000e+02,6.13403320e-03,8.89749351e-09
1.20000000e+02,6.28948212e-03,9.86911534e-09
1.18000000e+02,6.57343864e-03,8.53301945e-09
1.12000000e+02,5.92088699e-03,8.01952193e-09
1.17000000e+02,6.11734390e-03,8.67020488e-09
1.14000000e+02,5.95712662e-03,9.30180821e-09
1.17000000e+02,6.00075722e-03,9.61781512e-09
1.15000000e+02,6.00981712e-03,8.39487506e-09
1.10000000e+02,5.71489334e-03,8.59011779e-09
1.17000000e+02,6.16192818e-03,8.21898015e-09
