Niters,ExcTime,GNorm
1.07000000e+02,1.61514282e-02,7.75854380e-09
1.16000000e+02,1.76289082e-02,8.46521569e-09
1.09000000e+02,1.63097382e-02,9.88215218e-09
1.09000000e+02,1.53753757e-02,8.85821185e-09
1.16000000e+02,1.25105381e-02,9.55017916e-09
1.14000000e+02,1.22830868e-02,8.84336169e-09
1.15000000e+02,1.23536587e-02,8.91628460e-09
1.09000000e+02,1.17359161e-02,9.31752850e-09
1.15000000e+02,1.24418736e-02,9.50134420e-09
1.13000000e+02,1.21443272e-02,9.46885167e-09
1.17000000e+02,1.26204491e-02,8.60173046e-09
1.17000000e+02,1.26094818e-02,9.88465252e-09
9.90000000e+01,1.06902122e-02,9.16651175e-09
1.16000000e+02,1.25348568e-02,8.22116042e-09
1.16000000e+02,1.25691891e-02,8.45788271e-09
1.07000000e+02,1.13506317e-02,9.93535909e-09
1.14000000e+02,1.24268532e-02,9.60045060e-09
1.10000000e+02,1.20744705e-02,8.35709518e-09
1.05000000e+02,1.15547180e-02,9.21268342e-09
1.07000000e+02,1.16953850e-02,9.96875741e-09
1.16000000e+02,1.27534866e-02,8.35643553e-09
1.17000000e+02,1.28593445e-02,9.69244090e-09
1.15000000e+02,1.26540661e-02,8.62777379e-09
1.09000000e+02,1.20105743e-02,8.71423839e-09
1.13000000e+02,1.24931335e-02,8.98563113e-09
1.11000000e+02,1.22134686e-02,9.41711470e-09
1.14000000e+02,1.25560760e-02,8.42570073e-09
1.10000000e+02,1.21533871e-02,9.62671489e-09
1.07000000e+02,1.18429661e-02,9.33468356e-09
1.14000000e+02,1.24988556e-02,9.15633081e-09
