Niters std,ExcTime std,GNorm std
1.1822e+01,7.6550e-03,5.7385e-11
0.0000e+00,4.2991e-02,3.7741e-02
0.0000e+00,2.6834e-02,5.7469e+00
4.8466e+00,1.0278e-01,5.4092e-11
0.0000e+00,1.5721e+00,3.2801e-02
0.0000e+00,7.6190e-01,5.1680e+00
2.6173e+00,1.1688e+00,4.9609e-11
0.0000e+00,6.0452e+00,3.8177e-02
0.0000e+00,8.6741e+00,4.9881e+00
