Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,4.0167e+01,1.3958e-03,7.4124e-09
1.0000e+02,1.0000e+03,9.8400e+01,3.3946e-03,6.9249e-09
1.0000e+02,1.0000e+04,2.0507e+02,7.0635e-03,6.8599e-09
1.0000e+02,1.0000e+05,3.8157e+02,1.3132e-02,6.7945e-09
1.0000e+03,1.0000e+02,4.5000e+01,2.3271e-03,6.9478e-09
1.0000e+03,1.0000e+03,1.4337e+02,7.0337e-03,8.9569e-09
1.0000e+03,1.0000e+04,4.3937e+02,2.1610e-02,9.2874e-09
1.0000e+03,1.0000e+05,1.3197e+03,6.1983e-02,9.1338e-09
1.0000e+04,1.0000e+02,4.7000e+01,2.7143e-02,6.3544e-09
1.0000e+04,1.0000e+03,1.5200e+02,8.2387e-02,9.0279e-09
1.0000e+04,1.0000e+04,4.8527e+02,2.5789e-01,9.6827e-09
1.0000e+04,1.0000e+05,1.5463e+03,8.4409e-01,9.7649e-09
