,0
0,0.000000e+00
1,1.864685e-03
2,1.600784e-09
3,-1.249350e-09
4,1.294436e-09
5,-8.722665e-10
6,5.312418e-10
7,-1.178119e-10
8,-5.049567e-10
9,-1.227326e-10
10,-5.496594e-10
11,1.148809e-09
12,-8.287229e-10
13,4.209205e-10
14,1.664366e-09
15,-1.416005e-10
16,8.395424e-10
17,6.891034e-11
18,-1.245411e-09
19,1.201872e-09
20,-7.007722e-10
21,-6.003729e-10
22,2.524723e-09
23,1.338189e-11
24,-1.226180e-09
25,9.776758e-10
26,5.684482e-10
27,8.187639e-10
28,-7.790593e-10
29,-4.610688e-10
30,-3.276408e-10
31,1.038128e-09
32,-1.436475e-09
33,1.437887e-09
34,8.117450e-11
35,2.999392e-10
36,-5.011405e-10
37,-2.962173e-10
38,-1.524714e-10
39,2.022244e-09
40,0.000000e+00
41,2.069827e-03
42,-5.400739e-10
43,-1.207302e-09
44,1.039787e-09
45,-7.993645e-10
46,8.179623e-10
47,5.783269e-10
48,1.216150e-10
49,-7.263177e-10
50,-4.950593e-10
51,5.729654e-09
52,-1.530778e-09
53,-2.841725e-09
54,6.107421e-10
55,-2.593062e-10
56,1.470337e-09
57,5.508695e-10
58,-4.883045e-10
59,-9.107279e-10
60,3.966344e-10
61,-1.844396e-10
62,4.314005e-10
63,-4.624711e-10
64,8.531182e-10
65,5.560148e-10
66,-1.098637e-09
67,2.700429e-10
68,4.008552e-10
69,-1.227968e-09
70,1.779921e-09
71,-6.554975e-10
72,-1.247853e-10
73,1.949017e-10
74,1.905196e-10
75,7.888958e-10
76,-1.006893e-09
77,1.589013e-09
78,-1.018663e-09
79,0.000000e+00
80,-2.098289e-03
81,-8.068111e-10
82,1.459196e-09
83,-2.039463e-09
84,1.480232e-09
85,-8.596477e-10
86,7.727941e-10
87,6.868979e-11
88,-2.273734e-09
89,1.034647e-10
90,2.923778e-09
91,-2.097309e-09
92,-2.155347e-09
93,9.903967e-10
94,-7.605891e-10
95,5.944665e-10
96,-2.312547e-10
97,1.643043e-10
98,8.861960e-10
99,-1.364767e-09
100,1.151507e-09
101,-1.203206e-09
102,6.553515e-10
103,4.743886e-10
104,-2.048596e-10
105,-8.990187e-10
106,6.849799e-10
107,5.839195e-10
108,-2.162189e-10
109,-9.220590e-10
110,-1.679217e-10
111,1.833631e-09
112,-8.544621e-10
113,1.989330e-10
114,3.059229e-10
115,-1.265209e-09
116,1.056352e-10
117,9.707740e-10
118,-7.836149e-10
119,0.000000e+00
120,8.734465e-04
121,6.509580e-10
122,-6.998275e-10
123,-1.120100e-10
124,9.475025e-10
125,-1.870454e-09
126,6.117717e-11
127,5.492435e-10
128,2.688809e-10
129,-9.090602e-10
130,2.344367e-09
131,-1.551531e-09
132,7.854207e-10
133,-8.569844e-10
134,-4.618371e-10
135,1.926726e-10
136,9.309720e-10
137,-1.256242e-09
138,7.258831e-10
139,8.339741e-11
140,4.816024e-10
141,-8.560439e-10
142,7.648293e-10
143,-1.314577e-09
144,1.187501e-09
145,-2.621294e-11
146,-1.049534e-09
147,1.608696e-09
148,-5.094196e-10
149,-8.935953e-10
150,1.294096e-09
151,-2.837354e-10
152,-2.086370e-10
153,1.381582e-10
154,-1.315139e-10
155,3.847764e-10
156,-5.226780e-10
157,7.196694e-10
158,1.594500e-10
159,0.000000e+00
160,1.037320e-03
161,1.160170e-09
162,-1.580939e-09
163,1.440180e-09
164,-3.754336e-10
165,-9.900378e-10
166,5.828056e-10
167,7.847091e-10
168,-1.181435e-09
169,5.643336e-10
170,-1.378759e-09
171,1.014540e-09
172,8.496602e-10
173,-6.860834e-11
174,1.131732e-10
175,-2.441843e-10
176,7.375698e-10
177,-3.931995e-10
178,1.263041e-09
179,-8.086953e-10
180,-7.614170e-10
181,8.174438e-10
182,-1.128802e-10
183,2.333939e-10
184,-9.362139e-10
185,1.483672e-11
186,4.495014e-10
187,-2.609253e-12
188,-7.367153e-10
189,1.481079e-09
190,-1.520233e-09
191,1.035387e-09
192,-1.091429e-09
193,1.140508e-09
194,6.480406e-10
195,-4.173936e-11
196,-8.802316e-10
197,9.205602e-10
198,7.440162e-10
199,0.000000e+00
200,-5.410127e-04
201,5.318987e-10
202,-1.755926e-09
203,2.000493e-09
204,-2.102637e-11
205,-9.483938e-10
206,5.309682e-10
207,-1.330974e-09
208,2.154137e-10
209,-3.523265e-10
210,1.603609e-09
211,-2.769928e-09
212,4.424264e-10
213,-2.388842e-10
214,-3.713143e-10
215,6.828250e-10
216,-1.683529e-10
217,-8.381715e-10
218,1.131178e-09
219,-1.113198e-09
220,1.788251e-09
221,-5.506369e-10
222,7.052395e-10
223,-1.391534e-09
224,4.067915e-10
225,1.477076e-09
226,-1.043928e-09
227,-8.739698e-11
228,-9.054297e-10
229,1.965726e-10
230,4.900966e-10
231,2.114546e-10
232,2.428129e-10
233,-1.120463e-09
234,7.192342e-10
235,-9.275034e-10
236,-2.687971e-11
237,7.297693e-11
238,0.000000e+00
239,-1.946373e-03
240,1.095161e-09
241,-2.063169e-09
242,1.534027e-10
243,8.994697e-10
244,-9.524419e-10
245,1.107670e-09
246,-1.197456e-09
247,3.614186e-10
248,-4.332416e-10
249,4.697698e-11
250,6.074251e-09
251,-1.823779e-09
252,9.788381e-10
253,-7.532444e-10
254,-8.541505e-10
255,-1.741352e-10
256,1.352976e-11
257,3.594130e-10
258,7.156039e-10
259,-8.529860e-10
260,-2.301664e-10
261,1.562606e-09
262,-2.379686e-09
263,1.687813e-10
264,1.052600e-09
265,-1.563796e-09
266,1.104830e-09
267,-1.503084e-09
268,4.417343e-10
269,3.199890e-11
270,2.417511e-10
271,-1.209746e-09
272,6.929613e-10
273,4.693192e-10
274,-7.979919e-10
275,1.201997e-09
276,5.358815e-10
277,0.000000e+00
278,-8.280986e-04
279,2.209104e-10
280,-9.287560e-10
281,-4.525684e-11
282,8.769206e-10
283,-9.780835e-10
284,-2.161177e-10
285,4.126205e-10
286,2.510608e-10
287,2.694915e-10
288,-1.781268e-09
289,2.130158e-09
290,9.486029e-11
291,-2.801215e-09
292,4.126318e-10
293,-4.421987e-10
294,-9.076367e-11
295,1.199794e-09
296,2.011965e-10
297,1.406701e-10
298,-6.678635e-10
299,-6.077994e-10
300,1.655628e-09
301,-1.638006e-09
302,8.162557e-10
303,-4.627129e-10
304,-2.809270e-10
305,5.692603e-11
306,-4.584322e-10
307,6.980635e-10
308,1.007778e-09
309,-1.262872e-09
310,6.360048e-10
311,3.794789e-10
312,-2.810337e-10
313,-3.162240e-10
314,5.750453e-10
315,-5.809860e-10
316,1.639412e-09
317,-3.305251e-10
318,0.000000e+00
319,4.694970e-04
320,6.853585e-10
321,-1.345778e-09
322,3.672856e-10
323,-3.406860e-10
324,1.210193e-09
325,-1.412279e-09
326,1.017659e-09
327,-1.099666e-09
328,1.120596e-09
329,4.337642e-10
330,-1.602801e-09
331,1.792045e-09
332,-7.930124e-10
333,-2.800259e-10
334,-6.277442e-10
335,1.079507e-09
336,-3.203660e-10
337,-1.254461e-10
338,3.160847e-10
339,-8.229668e-10
340,-7.035015e-11
341,-3.233180e-10
342,1.305360e-10
343,5.963037e-10
344,-1.868733e-10
345,3.510091e-10
346,3.403076e-11
347,-1.000978e-09
348,1.897948e-09
349,-2.636273e-10
350,1.632646e-11
351,-1.436075e-10
352,3.487551e-10
353,-6.592104e-10
354,5.136238e-10
355,-9.539098e-10
356,1.417721e-09
357,-5.041230e-10
358,7.580177e-10
359,0.000000e+00
360,3.983220e-04
361,1.106766e-09
362,-7.490010e-10
363,-2.253107e-11
364,-4.711792e-10
365,-4.898610e-10
366,1.112035e-09
367,-4.987632e-10
368,-5.657843e-10
369,1.029131e-09
370,-1.389835e-09
371,-6.139818e-11
372,3.464648e-09
373,-4.283980e-11
374,-6.417640e-10
375,2.343262e-10
376,9.715659e-11
377,4.127782e-10
378,-3.953196e-10
379,1.833928e-10
380,-1.066035e-09
381,1.456837e-09
382,-1.537414e-10
383,-2.259012e-10
384,2.877722e-10
385,-5.787557e-10
386,3.844944e-10
387,3.663991e-10
388,-9.875457e-10
389,7.708333e-11
390,1.815584e-09
391,-1.347569e-09
392,2.716817e-09
393,4.793002e-11
394,-1.151788e-09
395,1.994364e-09
396,2.051577e-10
397,-1.244433e-09
398,0.000000e+00
399,-2.172458e-02
400,4.848187e-09
401,-1.866953e-09
402,1.496809e-09
403,3.362953e-10
404,-7.204289e-11
405,7.252440e-10
406,2.406299e-10
407,-1.607938e-09
408,2.790808e-09
409,-7.177577e-09
410,1.262856e-08
411,-7.677006e-10
412,-2.163201e-09
413,1.651178e-09
414,-1.044417e-09
415,5.579633e-10
416,-5.990443e-10
417,-7.439967e-10
