Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,4.0167e+01,1.5375e-03,7.4124e-09
1.0000e+02,1.0000e+03,9.8400e+01,3.4648e-03,6.9249e-09
1.0000e+02,1.0000e+04,2.0507e+02,7.2171e-03,6.8599e-09
1.0000e+02,1.0000e+05,3.8157e+02,1.1493e-02,6.7945e-09
1.0000e+03,1.0000e+02,4.5000e+01,1.9862e-03,6.9478e-09
1.0000e+03,1.0000e+03,1.4337e+02,5.2440e-03,8.9569e-09
1.0000e+03,1.0000e+04,4.3937e+02,1.4482e-02,9.2874e-09
1.0000e+03,1.0000e+05,1.0000e+03,3.3042e-02,2.1546e-05
1.0000e+04,1.0000e+02,4.7000e+01,2.5137e-02,6.3544e-09
1.0000e+04,1.0000e+03,1.5200e+02,7.6217e-02,9.0279e-09
1.0000e+04,1.0000e+04,4.8527e+02,2.4322e-01,9.6827e-09
1.0000e+04,1.0000e+05,1.0000e+03,5.2421e-01,6.2885e-04
