Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,3.9367e+01,3.2159e-03,7.2373e-09
1.0000e+02,1.0000e+03,1.1087e+02,8.9426e-03,9.2435e-09
1.0000e+02,1.0000e+04,2.8597e+02,2.4399e-02,9.0014e-09
1.0000e+02,1.0000e+05,6.7500e+02,5.4392e-02,9.1758e-09
1.0000e+03,1.0000e+02,4.3967e+01,4.8124e-03,6.1157e-09
1.0000e+03,1.0000e+03,1.4063e+02,1.5751e-02,9.0639e-09
1.0000e+03,1.0000e+04,4.3863e+02,4.7809e-02,9.6847e-09
1.0000e+03,1.0000e+05,1.3617e+03,1.4408e-01,9.9182e-09
1.0000e+04,1.0000e+02,4.5967e+01,3.3453e-02,5.6224e-09
1.0000e+04,1.0000e+03,1.4807e+02,1.0632e-01,9.4295e-09
1.0000e+04,1.0000e+04,4.6820e+02,3.3534e-01,9.6802e-09
1.0000e+04,1.0000e+05,1.4721e+03,1.0669e+00,9.9095e-09
