Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,1.0000e+04,3.5480e-01,2.8307e+01
1.0000e+02,1.0000e+03,1.0000e+04,3.4535e-01,2.7601e+02
1.0000e+02,1.0000e+04,1.0000e+04,3.5872e-01,2.7533e+03
1.0000e+02,1.0000e+05,1.0000e+04,3.5901e-01,2.7526e+04
1.0000e+03,1.0000e+02,1.0000e+04,5.7076e-01,9.0560e+01
1.0000e+03,1.0000e+03,1.0000e+04,5.6941e-01,8.8471e+02
1.0000e+03,1.0000e+04,1.0000e+04,5.6967e-01,8.8268e+03
1.0000e+03,1.0000e+05,1.0000e+04,5.7975e-01,8.8248e+04
1.0000e+04,1.0000e+02,1.0000e+04,1.2931e+02,2.8611e+02
1.0000e+04,1.0000e+03,1.0000e+04,1.2652e+02,2.7943e+03
1.0000e+04,1.0000e+04,1.0000e+04,1.2709e+02,2.7878e+04
1.0000e+04,1.0000e+05,1.0000e+04,1.2828e+02,2.7872e+05
