Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,1.0000e+04,7.4345e-01,4.6849e+00
1.0000e+02,1.0000e+03,1.0000e+04,7.3716e-01,4.4462e+01
1.0000e+02,1.0000e+04,1.0000e+04,7.4070e-01,4.4228e+02
1.0000e+02,1.0000e+05,1.0000e+04,7.3803e-01,4.4204e+03
1.0000e+03,1.0000e+02,1.0000e+04,1.0846e+00,1.4680e+01
1.0000e+03,1.0000e+03,1.0000e+04,1.0924e+00,1.4014e+02
1.0000e+03,1.0000e+04,1.0000e+04,1.0962e+00,1.3946e+03
1.0000e+03,1.0000e+05,1.0000e+04,1.0803e+00,1.3939e+04
1.0000e+04,1.0000e+02,1.0000e+04,1.2869e+02,4.6947e+01
1.0000e+04,1.0000e+03,1.0000e+04,1.2946e+02,4.4812e+02
1.0000e+04,1.0000e+04,1.0000e+04,1.2551e+02,4.4593e+03
1.0000e+04,1.0000e+05,1.0000e+04,1.2811e+02,4.4572e+04
