Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.4600e+01,1.8876e-02,7.0101e-09
1.0000e+02,1.0000e+03,9.2000e+01,8.2748e-03,6.1779e-09
1.0000e+02,1.0000e+04,1.1940e+02,9.9499e-03,8.2188e-09
1.0000e+02,1.0000e+05,1.4040e+02,1.1401e-02,7.7783e-09
1.0000e+03,1.0000e+02,8.4700e+01,9.4101e-03,8.5425e-09
1.0000e+03,1.0000e+03,2.1370e+02,2.3325e-02,9.3009e-09
1.0000e+03,1.0000e+04,3.2270e+02,3.5842e-02,9.4222e-09
1.0000e+03,1.0000e+05,4.2570e+02,4.8163e-02,9.3094e-09
1.0000e+04,1.0000e+02,9.0500e+01,1.1228e+00,8.3697e-09
1.0000e+04,1.0000e+03,2.6990e+02,3.3400e+00,9.6164e-09
1.0000e+04,1.0000e+04,6.5240e+02,8.1054e+00,9.7876e-09
1.0000e+04,1.0000e+05,9.7730e+02,1.2047e+01,9.8377e-09
