Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.5800e+01,2.3175e-03,6.0891e-09
1.0000e+02,1.0000e+03,8.6800e+01,3.0016e-03,5.5781e-09
1.0000e+02,1.0000e+04,9.3200e+01,3.2336e-03,4.0514e-09
1.0000e+02,1.0000e+05,9.7800e+01,3.3812e-03,4.3783e-09
1.0000e+03,1.0000e+02,8.7600e+01,3.6979e-03,7.4430e-09
1.0000e+03,1.0000e+03,2.1890e+02,8.3052e-03,8.6702e-09
1.0000e+03,1.0000e+04,2.9990e+02,1.1321e-02,8.6099e-09
1.0000e+03,1.0000e+05,3.3360e+02,1.2616e-02,8.0864e-09
1.0000e+04,1.0000e+02,9.3000e+01,1.1672e+00,7.9045e-09
1.0000e+04,1.0000e+03,2.8200e+02,3.5015e+00,9.2251e-09
1.0000e+04,1.0000e+04,6.8010e+02,8.8297e+00,9.4907e-09
1.0000e+04,1.0000e+05,9.1590e+02,1.1560e+01,9.4133e-09
