Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,4.9200e+02,4.1572e-02,9.8742e-09
1.0000e+02,1.0000e+03,4.8286e+03,3.6599e-01,9.9816e-09
1.0000e+02,1.0000e+04,1.0000e+04,7.5471e-01,8.3764e-03
1.0000e+02,1.0000e+05,1.0000e+04,7.4292e-01,1.9204e-01
1.0000e+03,1.0000e+02,5.0660e+02,5.5453e-02,9.7945e-09
1.0000e+03,1.0000e+03,4.8002e+03,5.2050e-01,9.9812e-09
1.0000e+03,1.0000e+04,1.0000e+04,1.0619e+00,8.2665e-03
1.0000e+03,1.0000e+05,1.0000e+04,1.0603e+00,2.2052e-01
1.0000e+04,1.0000e+02,5.3120e+02,6.6794e+00,9.8109e-09
1.0000e+04,1.0000e+03,4.9635e+03,6.4041e+01,9.9838e-09
1.0000e+04,1.0000e+04,1.0000e+04,1.2766e+02,8.9883e-03
1.0000e+04,1.0000e+05,1.0000e+04,1.2838e+02,3.7691e-01
