Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.7220e+02,2.5746e-02,9.9036e-09
1.0000e+02,1.0000e+03,6.4581e+03,2.3678e-01,9.9829e-09
1.0000e+02,1.0000e+04,1.0000e+04,3.5410e-01,1.9261e-02
1.0000e+02,1.0000e+05,1.0000e+04,3.5549e-01,2.0833e-01
1.0000e+03,1.0000e+02,6.9950e+02,4.1705e-02,9.8805e-09
1.0000e+03,1.0000e+03,6.4784e+03,3.9306e-01,9.9860e-09
1.0000e+03,1.0000e+04,1.0000e+04,5.9777e-01,2.0487e-02
1.0000e+03,1.0000e+05,1.0000e+04,6.0498e-01,2.7490e-01
1.0000e+04,1.0000e+02,7.3840e+02,9.6469e+00,9.8918e-09
1.0000e+04,1.0000e+03,6.7497e+03,8.8441e+01,9.9896e-09
1.0000e+04,1.0000e+04,1.0000e+04,1.2943e+02,2.5013e-02
1.0000e+04,1.0000e+05,1.0000e+04,1.2683e+02,5.5635e-01
