Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.4700e+01,5.3138e-03,6.7928e-09
1.0000e+02,1.0000e+03,8.8300e+01,7.2520e-03,5.4651e-09
1.0000e+02,1.0000e+04,1.0460e+02,8.3194e-03,7.9361e-09
1.0000e+02,1.0000e+05,1.2520e+02,1.0252e-02,8.7997e-09
1.0000e+03,1.0000e+02,8.4700e+01,9.4095e-03,8.5425e-09
1.0000e+03,1.0000e+03,2.1370e+02,2.3280e-02,9.2973e-09
1.0000e+03,1.0000e+04,2.9690e+02,3.2687e-02,9.3311e-09
1.0000e+03,1.0000e+05,3.6200e+02,4.0552e-02,9.4358e-09
1.0000e+04,1.0000e+02,9.0500e+01,1.1368e+00,8.3697e-09
1.0000e+04,1.0000e+03,2.6990e+02,3.3111e+00,9.6164e-09
1.0000e+04,1.0000e+04,6.5210e+02,8.4877e+00,9.8011e-09
1.0000e+04,1.0000e+05,8.9530e+02,1.1041e+01,9.7800e-09
