Niters std,ExcTime std,GNorm std
5.4448e+00,2.8986e-02,1.5551e-09
1.0894e+01,8.9614e-04,1.6741e-09
1.8979e+01,1.6157e-03,1.8455e-09
2.3552e+01,1.8661e-03,1.7011e-09
6.4031e-01,1.1248e-04,7.7431e-10
1.8419e+01,3.1547e-03,4.9044e-10
3.3072e+01,3.4116e-03,6.5508e-10
7.1009e+01,9.9653e-03,5.6115e-10
5.0000e-01,3.8541e-02,1.0986e-09
4.0792e+00,9.0221e-02,2.5077e-10
6.0545e+01,8.1434e-01,1.2423e-10
1.1431e+02,1.4595e+00,1.4864e-10
